"","line","content"
"1",1,"          1 INT. DARK STAGE - NIGHT 1"
"2",2,"                         "
"3",3,"                          OPENING CREDITS:"
"4",4,"                         "
"5",5,"           A SPOTLIGHT slices black space."
"6",6,"                         "
"7",7,"           In its beam, a DANCER materializes. She is fair-skinned."
"8",8,"           Beautiful and pure."
"9",9,"                         "
"10",10,"           The maiden twirls on pointe, a smile on her face, light as"
"11",11,"           air and carefree."
"12",12,"                         "
"13",13,"           She pauses, her face grows worried. Sensing someone watching."
"14",14,"                         "
"15",15,"           Scared, she peers into the darkness."
"16",16,"                         "
"17",17,"           She moves now, looking, growing more frantic."
"18",18,"                         "
"19",19,"           Then, a SINISTER MAN emerges out of the darkness behind her."
"20",20,"           She stumbles backwards, frightened."
"21",21,"                         "
"22",22,"           She tries to escape, twirling away, but he pursues. His true"
"23",23,"           form is revealed, the demon ROTHBART."
"24",24,"                         "
"25",25,"           He flings his open hand towards her, casting the spell."
"26",26,"                         "
"27",27,"           She wants to scream, but nothing comes out. She looks at her"
"28",28,"           body, sensing something happening to her. Something"
"29",29,"           terrifying."
"30",30,"                         "
"31",31,"           She spins, panicking, but it's too late. She disappears"
"32",32,"           beneath the beast's cape."
"33",33,"                         "
"34",34,"           She emerges as the WHITE SWAN, the iconic protagonist of SWAN"
"35",35,"           LAKE."
"36",36,"                         "
"37",37,"           CUT TO BLACK."
"38",38,"                         "
"39",39,"                         "
"40",40,"          2 INT. NINA'S BEDROOM - MORNING 2"
"41",41,"                         "
"42",42,"           In the darkness, a pair of EYES. They belong to NINA, the"
"43",43,"           same dancer. She lies awake in bed, thinking about her dream."
"44",44,"                         "
"45",45,"           The room looks like it hasn't been redecorated since she was"
"46",46,"           a teenager. Stuffed animals. Dolls. Pink and frilly."
"47",47,"                         "
"48",48,"           The door opens, throwing LIGHT on her face. Nina looks"
"49",49,"           towards the door and smiles softly at whoever opened it."
"50",50,"                         "
"51",51,"           Nina sits up and hangs her BARE FEET off the side of the bed."
"52",52,"           Like all ballerinas, she's beautiful and her feet are"
"53",53,"           atrocious. Covered in corns, broken blisters and bunions. She"
"54",54,"           arches them, doing her first extensions of the day."
"55",55,"           "
"56",56,"                         "
"57",57,"          3 INT. LIVING ROOM - MORNING 3"
"58",58,"                         "
"59",59,"           The room is empty of furniture to leave space for dancing. A"
"60",60,"           large mirror covers the opposite wall entirely."
"61",61,"                         "
"62",62,"           Nina rubs her knees to get them warm, and then begins her"
"63",63,"           morning exercises, extending and contracting her feet and"
"64",64,"           legs in precise and rhythmic motions."
"65",65,"                         "
"66",66,"           The skin on her chest stretches tautly over her sternum."
"67",67,"           Defined vertebrae run up her back, sinewy muscles contract as"
"68",68,"           she moves. Her slender neck leads into her hair, contained"
"69",69,"           in a ballerina's bun."
"70",70,"                         "
"71",71,"           Nina looks serene as she moves, completely in her element."
"72",72,"                         "
"73",73,"           She hears someone fussing about in the kitchen."
"74",74,"                         "
"75",75,"                          NINA"
"76",76,"                          (WHILE STRETCHING)"
"77",77,"           I had the most amazing dream last"
"78",78,"           night. I was dancing the White"
"79",79,"           Swan."
"80",80,"                         "
"81",81,"           No answer."
"82",82,"                         "
"83",83,"                          NINA (CONT'D)"
"84",84,"           Different choreography, like the"
"85",85,"           Bolshoi's. It was the prologue,"
"86",86,"           when Rothbart casts his spell."
"87",87,"                         "
"88",88,"           Still no answer."
"89",89,"                         "
"90",90,"           Nina continues to stretch."
"91",91,"                         "
"92",92,"                         "
"93",93,"          4 INT. KITCHEN - MORNING 4"
"94",94,"                         "
"95",95,"           Nina sits at the table. An older woman, ERICA, places a"
"96",96,"           POACHED EGG and a QUARTER-GRAPEFRUIT in front of her."
"97",97,"                         "
"98",98,"                          ERICA"
"99",99,"           You're in a good mood."
"100",100,"                         "
"101",101,"                          NINA"
"102",102,"           I'm just excited to get back."
"103",103,"                         "
"104",104,"                          ERICA"
"105",105,"           Off-season always makes you grumpy."
"106",106,"                         "
"107",107,"                          NINA"
"108",108,"                          (RE: GRAPEFRUIT)"
"109",109,"           Look how pink. So pretty."
"110",110,"           2A."
"111",111,"                         "
"112",112,"                          ERICA NINA"
"113",113,"           (inside joke) (inside joke)"
"114",114,"          Pretty. Pretty."
"115",115,"                         "
"116",116,"          They giggle and Erica resumes packing Nina's shoulder bag"
"117",117,"          with extra clothing, shoes, snack filled tupperware, duct"
"118",118,"          tape, ribbon, thread, etc."
"119",119,"                         "
"120",120,"                          NINA (CONT'D)"
"121",121,"           Plus he promised to feature me"
"122",122,"           more."
"123",123,"                         "
"124",124,"                          ERICA"
"125",125,"           He certainly should. You're the"
"126",126,"           most dedicated dancer in the"
"127",127,"           company."
"128",128,"                         "
"129",129,"          Nina smiles, comforted, and begins taking her vitamins."
"130",130,"                         "
"131",131,"          Erica walks over with a SWEATSHIRT and holds it above her."
"132",132,"          Nina pulls it over her head and starts to push her arms"
"133",133,"          through the sleeves."
"134",134,"           "
"135",135,"                         "
"136",136,"                          ERICA (CONT'D)"
"137",137,"                          (NOTICING SOMETHING)"
"138",138,"           What's that?"
"139",139,"                         "
"140",140,"                          NINA"
"141",141,"           What?"
"142",142,"                         "
"143",143,"                          ERICA"
"144",144,"           There."
"145",145,"                         "
"146",146,"           Erica points to her shoulder. Nina feels and finds a small"
"147",147,"           SCRATCH MARK."
"148",148,"                         "
"149",149,"           She shrugs and shakes her head."
"150",150,"                         "
"151",151,"           Erica gives her a suspicious look, but lets it go and smiles."
"152",152,"           Nina finishes pulling down the sweatshirt."
"153",153,"                         "
"154",154,"           Erica hugs Nina into her chest and kisses the top of her"
"155",155,"           head."
"156",156,"                         "
"157",157,"                          ERICA (CONT'D)"
"158",158,"           Sweet girl."
"159",159,"                         "
"160",160,"           Erica releases her and Nina begins eating."
"161",161,"                         "
"162",162,"                         "
"163",163,"          5 INT. SUBWAY TRAIN - DAY 5"
"164",164,"                         "
"165",165,"           Nina rides inside a crowded subway, staring absentmindedly at"
"166",166,"           her faint reflection in the train's window."
"167",167,"                         "
"168",168,"           Suddenly, another train roars by on the opposite track,"
"169",169,"           snapping her awake."
"170",170,"                         "
"171",171,"           In the next train car, she sees the back of a BALLERINA"
"172",172,"           standing in the midst of the crowd. Her head bops to music"
"173",173,"           playing through iPod earphones."
"174",174,"                         "
"175",175,"           Nina moves a strand of hair out of her eyes, and at that"
"176",176,"           exact moment, the girl in the next car moves in the same way."
"177",177,"           Mirroring her."
"178",178,"                         "
"179",179,"           Unnerved, Nina slowly lowers her arm. So does the other girl."
"180",180,"           Although Nina can't quite see her face, the girl seems"
"181",181,"           IDENTICAL from Nina's vantage point."
"182",182,"           "
"183",183,"                         "
"184",184,"           The train jerks to a stop as it arrives at a station. Nina"
"185",185,"           sees the girl head to the exit. She cranes to see her face,"
"186",186,"           but her view's obscured."
"187",187,"                         "
"188",188,"           The doors slide shut and the train pulls out. Nina watches"
"189",189,"           the platform whisk by, keeping her eyes peeled, but she"
"190",190,"           doesn't see the girl."
"191",191,"                         "
"192",192,"                         "
"193",193,"                         6 OMITTED 6"
"194",194,"                         "
"195",195,"                         "
"196",196,"          7 EXT. LINCOLN CENTER - DAY 7"
"197",197,"                         "
"198",198,"           Nina emerges from the subway station onto a city street."
"199",199,"                         "
"200",200,"           She arrives at the MAJESTIC-LOOKING THEATER, where a few"
"201",201,"           other BALLERINAS likewise trickle towards the entrance. They"
"202",202,"           all look strangely similar: slender, carrying shoulder bags,"
"203",203,"           wearing leggings and loose sweatshirts."
"204",204,"                         "
"205",205,"           She passes a ROW OF POSTERS featuring the company's prima"
"206",206,"           ballerina, BETH MACINTYRE."
"207",207,"                         "
"208",208,"           Nina looks at them, a little envious, before continuing on to"
"209",209,"           the STAGE DOOR."
"210",210,"                         "
"211",211,"                         "
"212",212,"          8 INT. SOLOIST DRESSING ROOM - DAY 8"
"213",213,"                         "
"214",214,"           Crammed into a single dressing room, Nina and the company's 5"
"215",215,"           SOLOISTS get ready for rehearsal. Chatting, sewing ribbon"
"216",216,"           onto shoes, applying makeup, putting band-aids on blisters."
"217",217,"                         "
"218",218,"           Nina removes a new pair of BALLET SHOES, admires them for a"
"219",219,"           moment, before cutting off the satin toe with scissors."
"220",220,"                         "
"221",221,"           In the background, catty VERONICA and Russian GALINA gossip."
"222",222,"                         "
"223",223,"                          VERONICA"
"224",224,"           Can't believe she's back."
"225",225,"                         "
"226",226,"                          GALINA"
"227",227,"           Of course she is."
"228",228,"                         "
"229",229,"                          VERONICA"
"230",230,"           She can't take a hint? Company's"
"231",231,"           broke. No one comes to see her"
"232",232,"           anymore."
"233",233,"                         "
"234",234,"                          SOLOIST 1"
"235",235,"           No one comes to see ballet period."
"236",236,"           "
"237",237,"                         "
"238",238,"                          VERONICA"
"239",239,"           That's not true, I heard the Royal"
"240",240,"           had one of their best seasons yet."
"241",241,"                         "
"242",242,"                          GALINA"
"243",243,"           He needs to try something new."
"244",244,"                         "
"245",245,"                          VERONICA"
"246",246,"           No, someone new."
"247",247,"                         "
"248",248,"                          SOLOIST 1"
"249",249,"           Like who?"
"250",250,"                         "
"251",251,"                          VERONICA"
"252",252,"           Like someone who's not approaching"
"253",253,"           menopause."
"254",254,"                         "
"255",255,"          They snicker."
"256",256,"                         "
"257",257,"                          NINA"
"258",258,"           I think it's sad."
"259",259,"                         "
"260",260,"                          VERONICA"
"261",261,"           What's sad?"
"262",262,"                         "
"263",263,"                          NINA"
"264",264,"           Beth's such an amazing dancer."
"265",265,"                         "
"266",266,"                          GALINA"
"267",267,"           So's my grand-mother."
"268",268,"                         "
"269",269,"                          NINA"
"270",270,"           Fonteyn danced into her 50's..."
"271",271,"                         "
"272",272,"                          VERONICA"
"273",273,"                          (ROLLING EYES)"
"274",274,"           Yeah, we know."
"275",275,"                         "
"276",276,"          Irked, Nina starts POUNDING the shoes against the floor to"
"277",277,"          soften the toe."
"278",278,"                         "
"279",279,"          Her eyes are drawn to a NEW GIRL standing in the doorway."
"280",280,"          Nina pauses to scrutinize her. She wears vampy make-up, hair"
"281",281,"          down. Dark and sexy."
"282",282,"                         "
"283",283,"                          NEW GIRL"
"284",284,"           Soloists?"
"285",285,"                         "
"286",286,"          Wary, the girls mumble mmm-hmm's and nod."
"287",287,"                         "
"288",288,"           NEW GIRL (CONT'D)"
"289",289,"           Great."
"290",290,"           "
"291",291,"                         "
"292",292,"           She slinks past the suspicious group of girls and plops down"
"293",293,"           at an open spot."
"294",294,"                         "
"295",295,"           NEW GIRL (CONT'D)"
"296",296,"           Fucking got off the wrong stop and"
"297",297,"           had to hoof it from 79th."
"298",298,"                         "
"299",299,"           Nina exchanges glances with the other girls, taken aback."
"300",300,"                         "
"301",301,"           The new girl notices the looks, smirks to herself and starts"
"302",302,"           getting ready."
"303",303,"                         "
"304",304,"                         "
"305",305,"          9 INT. LARGE REHEARSAL SPACE - DAY 9"
"306",306,"                         "
"307",307,"           Nina wears a look of intense concentration as the entire"
"308",308,"           company warms up, including the pubescent CORPS MEMBERS and a"
"309",309,"           handful of MALE DANCERS."
"310",310,"                         "
"311",311,"           LEGS, HANDS, and FEET repeat the same movements all around"
"312",312,"           her, led by a severe BALLET MISTRESS."
"313",313,"                         "
"314",314,"                          BALLET MISTRESS"
"315",315,"           To the back, fondu, to the back,"
"316",316,"           plie. Fourth, fourth, and one and"
"317",317,"           fifth, to the back..."
"318",318,"           (to a corps member)"
"319",319,"           Like this. Push it. Why can't you"
"320",320,"           do this?"
"321",321,"                         "
