"","line","sentiment","n","paragraph"
"1",14,"anger",2,1
"2",14,"disgust",2,1
"3",14,"fear",2,1
"4",14,"surprise",2,1
"5",17,"anger",1,1
"6",17,"fear",1,1
"7",17,"sadness",1,1
"8",18,"fear",1,1
"9",18,"sadness",2,1
"10",19,"fear",1,1
"11",19,"sadness",1,1
"12",21,"anticipation",1,1
"13",21,"fear",1,1
"14",21,"joy",1,1
"15",21,"sadness",1,1
"16",22,"fear",1,1
"17",27,"disgust",1,1
"18",27,"sadness",2,1
"19",30,"anticipation",1,1
"20",30,"joy",1,1
"21",30,"surprise",1,1
"22",31,"surprise",1,1
"23",32,"anger",1,1
"24",32,"anticipation",1,1
"25",32,"disgust",1,1
"26",32,"fear",1,1
"27",35,"fear",1,1
"28",37,"anger",1,1
"29",37,"anticipation",1,1
"30",37,"fear",1,1
"31",37,"surprise",1,1
"32",40,"anger",1,1
"33",40,"fear",1,1
"34",40,"sadness",1,1
"35",48,"anticipation",1,1
"36",48,"joy",1,1
"37",48,"surprise",1,1
"38",48,"trust",1,1
"39",50,"anticipation",1,1
"40",50,"joy",1,1
"41",50,"trust",1,1
"42",51,"disgust",1,1
"43",51,"fear",1,1
"44",51,"joy",1,1
"45",51,"surprise",1,1
"46",55,"surprise",1,1
"47",62,"joy",1,1
"48",67,"anger",1,1
"49",67,"fear",1,1
"50",67,"sadness",1,1
"51",67,"surprise",1,1
"52",69,"joy",1,1
"53",74,"joy",1,1
"54",76,"anger",1,1
"55",76,"disgust",1,1
"56",76,"fear",1,1
"57",76,"sadness",1,1
"58",76,"surprise",1,1
"59",82,"anticipation",1,1
"60",82,"fear",1,1
"61",82,"joy",1,1
"62",82,"trust",1,1
"63",86,"anticipation",1,1
"64",86,"joy",1,1
"65",86,"trust",1,1
"66",87,"sadness",1,1
"67",91,"anticipation",2,1
"68",91,"joy",2,1
"69",91,"surprise",1,1
"70",91,"trust",1,1
"71",92,"anger",1,1
"72",92,"fear",1,1
"73",103,"anticipation",2,1
"74",103,"joy",2,1
"75",103,"surprise",1,1
"76",103,"trust",1,1
"77",105,"trust",1,1
"78",109,"joy",1,1
"79",114,"anticipation",1,1
"80",114,"joy",1,1
"81",114,"surprise",1,1
"82",118,"anticipation",1,1
"83",118,"joy",1,1
"84",118,"surprise",1,1
"85",135,"disgust",1,1
"86",135,"joy",1,1
"87",135,"sadness",1,1
"88",135,"trust",1,1
"89",136,"sadness",1,1
"90",136,"trust",1,1
"91",140,"fear",1,1
"92",142,"trust",1,1
"93",143,"trust",1,1
"94",146,"anticipation",1,1
"95",146,"joy",1,1
"96",146,"sadness",1,1
"97",146,"surprise",1,1
"98",158,"anticipation",1,2
"99",168,"disgust",1,2
"100",171,"anticipation",1,2
"101",171,"fear",1,2
"102",171,"sadness",1,2
"103",176,"anticipation",1,2
"104",176,"joy",1,2
"105",193,"anticipation",2,2
"106",193,"joy",2,2
"107",193,"surprise",1,2
"108",193,"trust",1,2
"109",198,"anticipation",1,2
"110",198,"fear",1,2
"111",198,"joy",1,2
"112",198,"trust",1,2
"113",205,"anticipation",1,2
"114",205,"fear",1,2
"115",205,"sadness",1,2
"116",211,"joy",1,2
