,line,content
7,7,1
8,8,    OVER BLACK.
9,9,    We hear audience laughter.
10,10,                           ANDY DODD (V.O.)
11,11,"              Give it up for my man, Mr. Kumail"
12,12,              Nanjiani!
13,13,                           KUMAIL (V.O.)
14,14,              Hello. I grew up in Pakistan. And people
15,15,"              are always asking me, what was that like?"
16,16,              Really not that different from here. I
17,17,"              mean we played cricket, which is just a"
18,18,              spicier version of baseball. And we
19,19,"              prayed a lot. Well not a lot, just five"
20,20,              times a day. And we marry someone our
21,21,"              parents find for us. Arranged marriage,"
22,22,"              you know. For me, it was probably that we"
23,23,              got episodes of the A-Team a little bit
24,24,"              later. And by a little bit later, I mean"
25,25,              we just got episode two. But other than
26,26,"              that, it was exactly the same."
27,27,    A CREDIT SEQUENCE PLAYS.
28,28,    Kumail drives an Uber around Chicago with VARIOUS
29,29,    PASSENGERS in the backseat.
30,30,    INT. TRIPLE DOOR - PRESENT DAY - NIGHT
31,31,    Kumail walks into the comedy club as MARY is doing a set
32,32,    on stage. CHRIS intercepts Kumail as he walks backstage.
33,33,                           CHRIS
34,34,              There's no bad crowds dude. Only bad
35,35,              comedians.
36,36,                           KUMAIL
37,37,              You complain about the crowd like all
38,38,              the time.
39,39,                           CHRIS
40,40,"              Yeah, but that's when they're really bad."
41,41,                           KUMAIL
42,42,"              So like ninety percent of the time,"
43,43,              they're really bad?
44,44,2
45,45,                           CHRIS
46,46,              Will you just watch and give me notes
47,47,              tonight? If we both give each other
48,48,"              notes, I think it would be helpful."
49,49,                           KUMAIL
50,50,"              Your notes are just to add more \""fucks\"""
51,51,              into the bit.
52,52,                           CHRIS
53,53,              Fuck's a funny word. Soft on the top and
54,54,              it's hard on the end.
55,55,    Mary walks off the stage and sits on the couch next to
56,56,    CJ.
57,57,                           MARY
58,58,              That was truly horrible.
59,59,                           KUMAIL
60,60,"              Hey, that was great."
61,61,                           MARY
62,62,"              No, he didn't even crack a smile. I"
63,63,              thought I was gonna puke.
64,64,                             CHRIS
65,65,              Who?
66,66,                             MARY
67,67,              Bob Dalavan.
68,68,                           CHRIS
69,69,              Who's Bob Dalaban?
70,70,                           CJ
71,71,              Bob Dalavan - works for the Montreal
72,72,"              Comedy Festival, you fuckin' doof."
73,73,              Don't you want to get noticed? Move to
74,74,              LA? Hang out with Elijah Wood and shit.
75,75,"    ANDY DODD, the coked-up emcee, appears out of the"
76,76,    bathroom.
77,77,                           DODD
78,78,              No one's on stage?
79,79,                             MARY
80,80,              No!
81,81,    Dodd rushes on stage.
82,82,                           KUMAIL
83,83,              He might have been doing cocaine.
84,84,3
85,85,                           CJ
86,86,              Was he doing cocaine recreationally?
87,87,                           MARY
88,88,              A true cokehead.
89,89,    Dodd jumps up on stage.
90,90,                           DODD (O.S.)
91,91,"              Now before I bring up the next guy, you"
92,92,              guys know tonight is Jell-o Shot
93,93,              Tuesday! Whooo!! And we all know what
94,94,              happens after eight Jell-o shots. We
95,95,              urinate all over ourselves and puke.
96,96,"              Okay, so I'm going to bring up the next"
97,97,              comic. You know this man.
98,98,    Chris slaps his own face.
99,99,                           CHRIS
100,100,              Confidence. Poise. Smile.
101,101,                           Dodd (O.S.)
102,102,              Give it up for Mister Chris Jones!
103,103,    Chris walks on stage.
104,104,                           KUMAIL
105,105,              He's like if a serial killer fucked an
106,106,              inspirational speaker.
107,107,                           CJ
108,108,              He's like Daniel Day Lewis except he
109,109,              sucks.
110,110,                           CHRIS
111,111,              Just bought a laser printer. Printed
112,112,              out like six lasers so far.
113,113,"    CJ, Kumail, and Mary watching Chris' set. Andy Dodd"
114,114,    saunters backstage.
115,115,                           KUMAIL
116,116,              Hey Dodd. Dalavan's in the crowd
117,117,              tonight. Could I do ten?
118,118,                           DODD
119,119,"              No. Five minutes. You put out chairs,"
120,120,              you get five minutes. You know the
121,121,              deal.
122,122,                           KUMAIL
123,123,              C'mon man. I'll double it up next time.
124,124,4
125,125,                            DODD
126,126,              No.
127,127,    Dodd walks back into the bathroom.
128,128,                           KUMAIL
129,129,              What are you gonna do in there?
130,130,                           DODD
131,131,              I'm making up next week's schedule.
132,132,                            KUMAIL
133,133,              Okay. Cool.
134,134,    INT. TRIPLE DOOR - LATER
135,135,    CJ is on stage crushing it. Kumail and Mary watch from
136,136,    the wings.
137,137,                           CJ
138,138,              I was in bed with my girlfriend and I was
139,139,"              trying to mansplain to her that, you"
140,140,"              know, we are on one little rock orbiting"
141,141,              a star in a galaxy of a billion stars in
142,142,"              a universe full of a billion galaxies, so"
143,143,              I forgot your birthday. Who gives a shit?
144,144,              You are cosmically over reacting to this.
145,145,              Honestly you are being super selfish.
146,146,"              You're right, but you're selfish."
147,147,    Kumail looks out at the crowd. Dalavan enjoys CJ's set.
148,148,    INT. TRIPLE DOOR - LATER
149,149,"    Kumail puts a RECORDER on his stool, presses RECORD and"
150,150,    starts his set.
151,151,                           KUMAIL
152,152,              Hey! Have you guys heard of this new drug
153,153,              cocktail called cheese? I saw these news
154,154,              reports so I looked up what cheese is and
155,155,              cheese is a mixture. Cheese is Tylenol PM
156,156,"              and heroin. So really, it's heroin."
157,157,              Heroin's doing the heavy lifting. Just do
158,158,"              the heroin, it's very powerful. You"
159,159,              already have heroin.
160,160,    Kumail looks to see if Bob Dalavan is laughing. He's not
161,161,    there. He's in the back talking to CJ. Fuck.
162,162,5
163,163,                          KUMAIL (CONT'D)
164,164,                   (pushing through)
165,165,             Is Pakistan in the house?!
166,166,"    O.S. A WOMAN \""Woo-hoos!\"" Kumail looks out at the crowd"
167,167,"    and sees EMILY, late 20's, white with a streak of blue"
168,168,    in her hair. She sits at a table with a few friends.
169,169,                          KUMAIL (CONT'D)
170,170,             You're not from Pakistan. I would have
171,171,             noticed you.
172,172,    She smiles.
173,173,"    Crowded bar scene after the show. Kumail, Chris, Mary"
174,174,    and CJ hang out at the bar.
175,175,                          CHRIS
176,176,             He just gave you Montreal? Like you
177,177,             don't have to showcase or audition or
178,178,             anything?
179,179,                          CJ
180,180,             It was too easy. Like I wanted to
181,181,             struggle. I wanted a story to be able
182,182,"             to tell on talk shows and instead,"
183,183,"             like, you guys don't know how hard it"
184,184,             is not to struggle. It's a struggle
185,185,             succeeding effortlessly.
186,186,                          MARY
187,187,             Did he say anything about me?
188,188,                          CJ
189,189,             Sure.
190,190,                          CHRIS
191,191,             What about me?
192,192,                          CJ
193,193,"             Both of you. He said, those guys"
194,194,             performed...
195,195,                          MARY
196,196,"             I truly hate you, actually."
197,197,                          CHRIS
198,198,             We all hate you.
199,199,"    Kumail walks over to Emily and her friend JESSIE, talks"
200,200,    loud over the music.
201,201,                          KUMAIL
202,202,             Hi.
203,203,6
204,204,                          EMILY
205,205,              Hi.
206,206,                           KUMAIL
207,207,"              Um, my name is Kumail."
208,208,                           EMILY
209,209,              Yeah. We know.
210,210,                           JESSIE
211,211,              We saw you perform.
212,212,                           KUMAIL
213,213,              Yeah. Now that the niceties are out of
214,214,"              the way, I have to tell you that when"
215,215,"              you yelled at me, it threw me off. You"
216,216,              really shouldn't heckle comedians. It's
217,217,              so rude.
218,218,                           EMILY
219,219,              I didn't heckle you. I just woo-hooed
220,220,              you. It was supportive.
221,221,                           KUMAIL
222,222,"              Okay, that's a common misconception."
223,223,              Yelling anything at a comedian is
224,224,              considered heckling. Heckling doesn't
225,225,              have to be negative.
226,226,                           EMILY
227,227,"              So if I yelled out \""You're amazing in"
228,228,"              bed,\"" that would be a heckle?"
229,229,                           KUMAIL
230,230,              Yeah. It'd be an accurate heckle.
231,231,                           JESSIE
232,232,              Wow. Goodbye!
233,233,    Jessie walks away.
234,234,                           EMILY
235,235,              Don't go! You scared my friend off now.
236,236,                           KUMAIL
237,237,              What's your name?
238,238,                          EMILY
239,239,              Emily.
240,240,    Kumail writes Emily's name in Urdu on a napkin.
241,241,7
242,242,                           KUMAIL
243,243,"              I want to show you something, Emily."
244,244,              This is your name in Urdu.
245,245,"    Emily picks up the napkin, looks at it."
246,246,                           EMILY
247,247,              Whoa. Does this move work?
248,248,                           KUMAIL
249,249,              I've had some minor success with it.
250,250,                           EMILY
251,251,              Bullshit.
252,252,    INT. TRIPLE DOOR BAR - LATER
253,253,    Emily and Kumail are still at the bar.
254,254,                           KUMAIL
255,255,              So you came to a comedy show with your
256,256,              friends?
257,257,                           EMILY
258,258,"              Yeah, we're all grad students at U of"
259,259,              C.
260,260,                           KUMAIL
261,261,              What are you studying at grad school?
262,262,                           EMILY
263,263,              I study psychology. I'm going to be a
264,264,              therapist.
265,265,                           KUMAIL
266,266,              Oh so you're gonna sit on a couch and
267,267,"              ask people, \""how did that make you"
268,268,"              feel?\"""
269,269,                           EMILY
270,270,              Eventually. Right now I'm doing field
271,271,              work with a group of guys convicted of
272,272,              domestic violence.
273,273,                           KUMAIL
274,274,              Jesus.
275,275,                           EMILY
276,276,              Cheers to that.
277,277,8
278,278,                           KUMAIL
279,279,"              Oh wow. No, don't cheers to that. To"
280,280,              you becoming a therapist.
281,281,                           EMILY
282,282,              Great. To me getting my masters. We'll
283,283,              start there and then we'll go to the
284,284,              rest of it.
285,285,    INT. KUMAIL'S APARTMENT - LATER
286,286,    Kumail and Emily walk in. It's a typical bachelor pad
287,287,"    boy house. Milk crates for furniture, mess everywhere,"
288,288,    no art on the walls. Chris is sitting on the couch
289,289,    watching TV.
290,290,                           KUMAIL
291,291,              So my roommate Chris is probably on the
292,292,              couch. He's going to try and start a
293,293,              conversation. So no matter what- do not
294,294,              engage. Okay? Let's go.
295,295,                           CHRIS
296,296,              Hi!
297,297,    Emily and Kumail walk by Chris avoiding eye contact.
298,298,    Kumail closes the bedroom door behind him.
299,299,                           CHRIS (CONT'D)
300,300,              Good for him.
301,301,    INT. KUMAIL'S BEDROOM- CONTINUOUS
302,302,    Kumail's bed is an inflatable air mattress. There are
303,303,    clothes everywhere.
304,304,                           KUMAIL
305,305,              Do you want to watch a movie?
306,306,                           EMILY
307,307,"              Sure. Should I just, put my stuff down?"
308,308,              Or...
309,309,                           KUMAIL
310,310,"              Yeah, I would say it's safe. You know"
311,311,"              what, go for that area. I cleaned that"
312,312,              earlier this year.
313,313,    Kumail points to a corner of his room covered in dirty
314,314,    clothes.
315,315,9
316,316,                           EMILY
317,317,              Should I take my shoes off or is this a
318,318,              shoes on bed?
319,319,                           KUMAIL
320,320,"              No, it's a shoes off bed. I have strict"
321,321,              rules.
322,322,    Emily crawls onto the air mattress.
323,323,                           EMILY
324,324,              Oh wow. That's totally an inflated
325,325,              mattress.
326,326,                           KUMAIL
327,327,              Yeah. Did you think it would be a flat
328,328,              inflatable mattress?
329,329,                           EMILY
330,330,              I did think it might be an actual
331,331,              mattress.
332,332,                           KUMAIL
333,333,              Well air mattresses are actual
334,334,              mattresses. You're being bigoted towards
335,335,              air based comfort items.
336,336,    Kumail picks up the remote and turns on the TV. Night of
337,337,    the Living Dead is playing.
338,338,                           KUMAIL (CONT'D)
339,339,              Night of The Living Dead?
340,340,                           EMILY
341,341,"              Sure, I haven't ever seen that movie."
342,342,                           KUMAIL
343,343,"              Okay, so basically the dead start rising."
344,344,"              And the good guys, um..."
345,345,    They eye each other flirtatiously. Laugh. Lean in and
346,346,    kiss.
347,347,    INT. KUMAIL'S LIVING ROOM
348,348,    Chris hits the Siri button on his iPhone.
349,349,                           CHRIS
350,350,              Text Lauren. You up girl?
351,351,                           SIRI
352,352,              What do you want to say to Warren?
353,353,10
354,354,                            CHRIS
355,355,"               Ah, no. Fuck."
356,356,     Chris hits the Siri button again.
357,357,                            SIRI
358,358,               What do you want to say to-
359,359,                            CHRIS
360,360,               You up? Period. Send.
361,361,                            SIRI
362,362,               That may be beyond my abilities at the
363,363,               moment.
364,364,                            CHRIS
365,365,               Fuck.
366,366,     INT. KUMAIL'S BEDROOM - NIGHT
367,367,     Kumail and Emily post-coital.
368,368,                            EMILY
369,369,               What are these scars?
370,370,                            KUMAIL
371,371,"               Oh, they're a smallpox vaccination."
372,372,                            EMILY
373,373,               I thought only old people had those.
374,374,                            KUMAIL
375,375,               Well I'm from Pakistan. We're still
376,376,               fighting some battles you guys have
377,377,               already won.
378,378,                            EMILY
379,379,               What were you like in high school? Were
380,380,"               you like, super funny? Were you really"
381,381,               smart?
382,382,                            KUMAIL
383,383,               I was very shy. They called me
384,384,               chashmullee.
385,385,                            EMILY
386,386,               What is that?
387,387,                            KUMAIL
388,388,"               It roughly translates to \""dweeb.\"" I'll"
389,389,               show you a picture.
390,390,11
391,391,     Kumail flips through his phone and produces his old high
392,392,"     school photo, shows it to her."
393,393,                           EMILY
394,394,              Of you in high school? Oh my god!
395,395,                             KUMAIL
396,396,              Boom.
397,397,                             EMILY
398,398,              No.
399,399,                           KUMAIL
400,400,              And I'm thinking I'm killing it right
401,401,              now.
402,402,                           EMILY
403,403,              What inspired this hair cut?
404,404,                             KUMAIL
405,405,              Hugh Grant.
406,406,                           EMILY
407,407,              Oh no. And you're so serious.
408,408,                           KUMAIL
409,409,"              I read in an interview with Hugh Grant,"
410,410,              he said he doesn't smile because it
411,411,              makes his face look fat. So I didn't
412,412,              smile in pictures for many years. What
413,413,              were you like in high school? Were you
414,414,              voted... Most Sexy?
415,415,                           EMILY
416,416,"              No. I was voted \""Most Noticeable.\"""
417,417,                             KUMAIL
418,418,              That's good.
419,419,                           EMILY
420,420,"              No. It's really not good. I had acne,"
421,421,              and I was a Goth and I had this
422,422,              terrible perm. The kids called me
423,423,              Beetlejuice. I don't know why. Actually
424,424,"              I do know why, it's because they"
425,425,              thought I looked like Beetlejuice. I
426,426,              think I'm done with this subject. In
427,427,"              fact, I think I'm gonna go home."
428,428,"     Emily gets up, pulling the blanket with her to hide her"
429,429,"     body. Kumail holds onto it, stopping her progress."
430,430,                           KUMAIL
431,431,              Wait we haven't even had sex again yet.
432,432,12
433,433,"     She tugs the blanket, he lets go. She dresses behind it."
434,434,                            EMILY
435,435,               No. No. I'm really not that kind of
436,436,               girl. I only have sex once on a first
437,437,               date. Plus a hand job.
438,438,                            KUMAIL
439,439,               Well I haven't had that yet!
440,440,     Emily laughs.
441,441,                            EMILY
442,442,               You don't get that because you made fun
443,443,               of me.
444,444,                            KUMAIL
445,445,               What is happening right now? What are you
446,446,               doing?
447,447,                            EMILY
448,448,               I'm changing under this blanket.
449,449,                            KUMAIL
450,450,"               I've seen everything. Do you remember, we"
451,451,               were just having sex?
452,452,                            EMILY
453,453,"               Yeah, but you were in the throes of"
454,454,"               passion then. Listen, I had a really nice"
455,455,               time. Thank you very much. I'm just gonna
456,456,               call an Uber and go home.
457,457,"     Emily pulls out her PHONE, calls an Uber. Kumail's phone"
458,458,     makes a noise. They exchange a look.
459,459,                            KUMAIL
460,460,               Your driver will be ready as soon as he
461,461,               puts on his pants.
462,462,                            EMILY
463,463,               Were you available for rides while we
464,464,               were fucking?
465,465,                            KUMAIL
466,466,"               Yeah, but I only looked a couple of"
467,467,               times.
468,468,     INT. KUMAIL'S CAR - LATER
469,469,     Kumail Ubers Emily home. Emily sits in the back.
470,470,13
471,471,                  KUMAIL
472,472,     So. Maybe I'll run into you at the club
473,473,     sometime and we can grab a drink?
474,474,                  EMILY
475,475,     I'm not really - I know this sounds
476,476,     like a line - but I'm not really dating
477,477,     right now. I have a lot of school and
478,478,     work and just a lot on my plate.
479,479,                  KUMAIL
480,480,     That's perfect because I'm not really
481,481,     dating right now either. I actually
482,482,     have a pretty strict two-day rule where
483,483,     I can't see someone more than two days
484,484,     in a row. So since we hung out for two
485,485,"     days, if I were to see you again, which"
486,486,"     I won't because you're not dating, I'm"
487,487,"     not dating, I wouldn't be able to see"
488,488,     you until Monday.
489,489,                  EMILY
490,490,     We haven't hung out for two days. We've
491,491,     hung out for about five hours. Just to
492,492,"     like, be totally clear."
493,493,                  KUMAIL
494,494,     Yesterday and today. Cause it's after
495,495,"     midnight, today is actually tomorrow."
496,496,     Earlier tonight was yesterday. So two
497,497,     days.
498,498,                  EMILY
499,499,"     You see, I don't date time nerds, so that"
500,500,     really takes you off the table.
501,501,                  KUMAIL
502,502,"     That works out, because I am a hard"
503,503,     core time nerd.
504,504,                  EMILY
505,505,"     Yeah, I can tell."
506,506,                  KUMAIL
507,507,"     I'm like, very strict about AM/PM"
508,508,     stuff.
509,509,                  EMILY
510,510,"     So wait, just to establish, what did we"
511,511,     just decide?
512,512,                  KUMAIL
513,513,     We decided we aren't ever going to see
514,514,     each other again.
515,515,14
516,516,                            EMILY
517,517,               Great. I'm glad we're on the same page.
518,518,     INT. KUMAIL'S PARENTS DINING ROOM - BRUNCH
519,519,"     Kumail is eating brunch with his father, AZMAT, his"
520,520,"     mother SHARMEEN, his brother, NAVEED, and his sister-in-"
521,521,"     law, FATIMA."
522,522,                            Azmat
523,523,"               Look at these jeans, Kumi. They're from"
524,524,"               Citizens of Humanity, that's the"
525,525,               brand's name. Touch them. They're so
526,526,               soft.
527,527,                            KUMAIL
528,528,               I don't want to touch your jeans.
529,529,                            AZMAT
530,530,               They're like sweatpants. You should be
531,531,               stylish like your father. It's not very
532,532,               difficult. Just observe me.
533,533,                            NAVEED
534,534,               Get some Daddy Style.
535,535,                            SHARMEEN
536,536,"               Kumi, why don't you grow a beard? Not"
537,537,"               like Naveed's, just a small one."
538,538,                            AZMAT
539,539,"               Maybe like mine, small and stylish."
540,540,                            SHARMEEN
541,541,"               Kumi, I've been thinking, you know, why"
542,542,               you don't enroll for LSAT now?
543,543,                            KUMAIL
544,544,"               Yeah sorry, Ma. I haven't done it yet."
545,545,               I like that you bring it up as though
546,546,               you've never brought it up before.
547,547,                            NAVEED
548,548,               How's the stand-up coming Bhai?
549,549,                            KUMAIL
550,550,               It's going fine.
551,551,                            SHARMEEN
552,552,               Since when are you someone to stand-up?
553,553,               You know who I think should stand up is
554,554,               Malala. She has something to say.
555,555,15
556,556,                 NAVEED
557,557,     Ma-la-la.
558,558,                  KUMAIL
559,559,     She does open mics and she crushes. Lot
560,560,"     of ethnic material, which I think is a"
561,561,"     crutch, and that one story gets a lot of"
562,562,"     play, but -"
563,563,                  FATIMA
564,564,     You should be on that show Saturday Night
565,565,     Live!
566,566,                 NAVEED
567,567,     SNL!
568,568,                  KUMAIL
569,569,     That's a great idea. I should e-mail
570,570,"     them, I don't know why I hadn't thought"
571,571,     of that.
572,572,                  AZMAT
573,573,"     You know, I hacked into your Cousin"
574,574,     Rehan's Facebook account-
575,575,                  KUMAIL
576,576,     You hacked into it?
577,577,                  AZMAT
578,578,"     Yeah, they were not accepting my friend"
579,579,     request so I had to hack into it and I
580,580,     discovered he and that white woman he is
581,581,     living with are having a baby -
582,582,                  KUMAIL
583,583,     They're married.
584,584,                  AZMAT
585,585,"     Yeah, whatever. And then I hacked into"
586,586,     Tumblr and I discovered that they named
587,587,     him Dave. Can you imagine?
588,588,                  KUMAIL
589,589,     Dave. It's probably Dave.
590,590,                  ALL
591,591,"     Ah, Dave. Yes, Dave."
592,592,                  SHARMEEN
593,593,"     Very, very, very sad. No one is going to"
594,594,"     visit that baby. That baby, mark my"
595,595,"     words, will grow up without a family."
596,596,16
597,597,                            FATIMA
598,598,               It's like he's dead. Or worse.
599,599,                            SHARMEEN
600,600,"               It's very sad. Kumi, go pray now so we"
601,601,               can eat ice cream. Go! The ja-namaz is
602,602,               downstairs.
603,603,                            NAVEED
604,604,               Hurry up yaar. Ice cream.
605,605,     Kumail leaves the room.
606,606,     INT. KUMAIL'S PARENTS BASEMENT- DAY
607,607,     Kumail sets his stop watch for five minutes. He unfolds
608,608,"     a FOLDED UP PRAYER MAT, stands beside it, looks on his"
609,609,     phone. Kumail's stopwatch goes off. He folds up his mat.
610,610,     INT. KUMAIL'S PARENTS DINING ROOM- MOMENTS LATER
611,611,     Kumail is back. Everyone is eating ice cream.
612,612,                            AZMAT
613,613,               My mother used to make best kulfi. Your
614,614,               grandmother.
615,615,                            KUMAIL
616,616,               I think ice cream is better than kulfi.
617,617,                               AZMAT
618,618,"               No, no-"
619,619,     DOORBELL RINGS.
620,620,                            SHARMEEN
621,621,               Oh. I wonder who that could be?
622,622,     Sharmeen goes to the door.
623,623,                            KUMAIL
624,624,"               I'm guessing it's a young, single"
625,625,               Pakistani woman who just happened to be
626,626,"               driving by our house, which is in a cul-"
627,627,               de-sac and I'm also guessing that the
628,628,"               phrase \""dropped in\"" will be said in the"
629,629,               next ten seconds.
630,630,                            AZMAT/NAVEED/FATIMA
631,631,               Ten. Nine. Eight. Seven -
632,632,17
633,633,"     Sharmeen enters with a dressed up, pretty Pakistani girl"
634,634,"     ZUBEIDA, 20's."
635,635,                            SHARMEEN
636,636,               Everyone. This is Zubeida. She just
637,637,               dropped in.
638,638,                              ZUBEIDA
639,639,               Salaam.
640,640,                            ALL
641,641,               Wa alaikum salaam.
642,642,                              SHARMEEN
643,643,"               Please, sit."
644,644,     Zubeida sits next to Kumail and hands him a HEADSHOT.
645,645,                            ZUBEIDA
646,646,"               Here, Kumail. For your files. Your X-"
647,647,               Files. Because that's your favorite
648,648,"               show, huh?"
649,649,                            KUMAIL
650,650,               Thank you so much.
651,651,                            ZUBEIDA
652,652,               The truth is out there!
653,653,     Nervous laughter all around.
654,654,                            KUMAIL
655,655,               It's from the show. Thank you.
656,656,     INT. KUMAIL'S PARENTS HOUSE - LATER
657,657,     Sharmeen and Kumail are seeing Zubeida out.
658,658,                            SHARMEEN
659,659,               I hope you come back.
660,660,"     Zubeida exits, Sharmeen looks at Kumail expectantly."
661,661,                            SHARMEEN (CONT'D)
662,662,"               Kumi, there's not going to be a magic"
663,663,"               spark, okay? You have to work at it. You"
664,664,               have to stay open.
665,665,                            KUMAIL
666,666,"               Okay, Ma, yeah. I just wish you were"
667,667,"               better at it, you know?"
668,668,                            (MORE)
669,669,18
670,670,                            KUMAIL (CONT'D)
671,671,               I mean you've had so much practice and
672,672,               you're still not that good at it!
673,673,                             SHARMEEN
674,674,               Ha. Ha. Ha.
675,675,                            KUMAIL
676,676,"               You brought your A-game with Naveed, but"
677,677,"               then with me, you're kind of just phoning"
678,678,               it in a little bit.
679,679,                            SHARMEN
680,680,"               Again with the comedy, the comedy. All"
681,681,               the time with the comedy. Be serious!
682,682,                            KUMAIL
683,683,               I am serious! That's why I want to help
684,684,               you get better!
685,685,     INT. KUMAIL'S APARTMENT - LATER
686,686,     Kumail puts the HEADSHOT in the cigar box with a bunch
687,687,     of other pictures of Pakistani women.
688,688,     INT. KUMAIL'S CAR - LATER
689,689,     Kumail drives Emily. She is in the back seat again.
690,690,                            EMILY
691,691,"               So, are you ever going to let me sit in"
692,692,               the front seat?
693,693,                            KUMAIL
694,694,"               No, I'm a professional. And you're paying"
695,695,               for this ride.
696,696,                            EMILY
697,697,               I don't want to pay for this ride! It's
698,698,               surging right now.
699,699,                            KUMAIL
700,700,"               Yeah, sorry. You shouldn't have typed in"
701,701,               the number.
702,702,     INT. KUMAIL'S APARTMENT - LATER
703,703,     Emily and Kumail on the couch in front of the TV.
704,704,19
705,705,                            KUMAIL
706,706,               Okay. The year is 1969. MGM has had a
707,707,"               string of failures. So, it turns to its"
708,708,"               most bankable star, Vincent Price."
709,709,                            EMILY
710,710,"               Is this your compatibility test? Like,"
711,711,               the way people are with Vonnegut or The
712,712,               Big Lebowski?
713,713,                            KUMAIL
714,714,               No! Just watch the movie. And take it
715,715,               seriously.
716,716,                            EMILY
717,717,               I'm going to love it. I love it when men
718,718,               test me on my taste.
719,719,                            KUMAIL
720,720,"               I just want to share this movie with you,"
721,721,               so I don't know why you're reading into-
722,722,                            EMILY
723,723,               How many women have you shown this movie
724,724,               to?
725,725,                           KUMAIL
726,726,               Zero.
727,727,                            EMILY
728,728,               How many women have you shown a B Horror
729,729,"               movie to on like, a third date."
730,730,                            KUMAIL
731,731,               This is not a B horror movie.
732,732,     Emily laughs.
733,733,                            KUMAIL (CONT'D)
734,734,"               Okay, you ready? Just close your eyes"
735,735,"               cause when the menu comes up, there's"
736,736,               some spoilers in the menu.
737,737,                            EMILY
738,738,"               I'm ready, I'm ready!"
739,739,                            KUMAIL
740,740,"               Ok, I'll hit play."
741,741,"     LATER, Kumail checks out Emily's reaction, she doesn't"
742,742,     seem into it.
743,743,                           KUMAIL (CONT'D)
744,744,               Watch!
745,745,20
746,746,                            EMILY
747,747,               I'm watching!
748,748,                            KUMAIL
749,749,               Shhhhhh! Watch this part.
750,750,                            EMILY
751,751,               Stop watching me!
752,752,     Emily yawns.
753,753,                            KUMAIL
754,754,               No! Are you tired? We can watch it later.
755,755,                            EMILY
756,756,               I just have that weird yawning thing that
757,757,"               happens, when you're watching a really"
758,758,               boring film.
759,759,                            KUMAIL
760,760,               It's not boring! Wait for it to kick in.
761,761,               The plot kicks in really soon.
762,762,"     LATER, Kumail and Emily make out. In the background,"
763,763,     Vincent Price exacts his revenge.
764,764,     EXT. EMILY'S APARTMENT BUILDING - LATER
765,765,     Kumail walks Emily to her front door.
766,766,                            EMILY
767,767,"               That was fun. Thanks for the ride home,"
768,768,               but we gotta stop doing this.
769,769,                           KUMAIL
770,770,               Yeah.
771,771,                            EMILY
772,772,"               I know I've said that before, but I"
773,773,               really do mean it. I can't be doing this
774,774,               right now.
775,775,                            KUMAIL
776,776,               I know. Totally. One hundred percent. I
777,777,               agree with you.
778,778,                            EMILY
779,779,               So don't call me again.
780,780,                            KUMAIL
781,781,               I won't. I promise.
782,782,21
783,783,                            EMILY
784,784,               Good luck on all your future endeavors.
785,785,                            KUMAIL
786,786,"               Oh yeah, thank you. Hey, can we have an"
787,787,               awkward hug before we part forever?
788,788,                            EMILY
789,789,               Ok.
790,790,                            KUMAIL
791,791,               Ok.
792,792,     Kumail goes in for an awkward hug.
793,793,                            EMILY
794,794,               Goodbye.
795,795,                            KUMAIL
796,796,               Goodbye.
797,797,     Emily goes inside. Kumail calls her immediately. She
798,798,     answers and they talk to each other through the door.
799,799,                            EMILY
800,800,               You just promised never to call me
801,801,               again.
802,802,                            KUMAIL
803,803,               It's really cold out here. It's so
804,804,               cold.
805,805,                            EMILY
806,806,               You make a pretty good point.
807,807,"     She opens the door, Kumail goes in."
808,808,                            EMILY (CONT'D)
809,809,               It's a lot warmer in here.
810,810,                            KUMAIL
811,811,               It is warmer in here.
812,812,                            EMILY
813,813,"               You know, it's really nice upstairs."
814,814,                            KUMAIL
815,815,               Is it?
816,816,22
817,817,"     SONG PLAYS... \""FALLING IN LOVE\"" MONTAGE"
818,818,     - EMILY'S APARTMENT - Emily is reading the DSM-V on the
819,819,     couch with her legs draped over Kumail while he listens
820,820,"     to his stand-up set, taking notes. Emily plays footsie"
821,821,     with Kumail. They both laugh.
822,822,     -- KUMAIL'S PARENTS HOUSE. Kumail's family is eating
823,823,     dinner. The doorbell rings and Sharmeen stands up to get
824,824,     the door.
825,825,     -- KUMAIL'S APARTMENT - Kumail puts another HEADSHOT in
