"","line","content"
"1",1,"                                         \""MISERY\"""
"2",2,"                                            by"
"3",3,"                                     William Goldman"
"4",4,"                                  Based on the Novel by"
"5",5,"                                       Stephen King"
"6",6,"                "
"7",7,"               FADE IN ON:"
"8",8,"               A SINGLE CIGARETTE. A MATCH. A HOTEL ICE BUCKET that holds a "
"9",9,"               bottle of champagne. The cigarette is unlit. The match is of "
"10",10,"               the kitchen variety. The champagne, unopened, is Dom Perignon. "
"11",11,"               There is only one sound at first: a strong WIND--"
"12",12,"               --now another sound, sharper--a sudden burst of TYPING as we"
"13",13,"               PULL BACK TO REVEAL"
"14",14,"               PAUL SHELDON typing at a table in his hotel suite. It's really "
"15",15,"               a cabin that's part of a lodge. Not an ornate place. Western "
"16",16,"               themed."
"17",17,"               He is framed by a window looking out at some gorgeous "
"18",18,"               mountains. It's afternoon. The sky is grey. Snow is scattered "
"19",19,"               along the ground. We're out west somewhere. The WIND grows "
"20",20,"               stronger--there could be a storm."
"21",21,"               PAUL pays no attention to what's going on outside as he "
"22",22,"               continues to type."
"23",23,"               He's the hero of what follows. Forty-two, he's got a good "
"24",24,"               face, one with a certain mileage to it. We are not, in other "
"25",25,"               words, looking at a virgin. He's been a novelist for eighteen "
"26",26,"               years and for half that time, the most recent half, a "
"27",27,"               remarkably successful one."
"28",28,"               He pauses for a moment, intently, as if trying to stare a "
"29",29,"               hole in the paper. Now his fingers fly, and there's another "
"30",30,"               burst of TYPING. He studies what he's written, then--"
"31",31,"                                                                    "
"32",32,"               THE PAPER, as he rolls it out of the machine, puts it on the "
"33",33,"               table, prints, in almost childlike letters, these words:"
"34",34,"                                         THE END"
"35",35,"                                                                    "
"36",36,"               A PILE OF MANUSCRIPT at the rear of the table. He puts this "
"37",37,"               last page on, gets it straight and in order, hoists it up, "
"38",38,"               folds it to his chest, the entire manuscript--hundreds of "
"39",39,"               pages."
"40",40,"                                                                    "
"41",41,"               PAUL, as he holds his book to him. He is, just for a brief "
"42",42,"               moment, moved."
"43",43,"                                                                    "
"44",44,"               A SUITCASE across the room. PAUL goes to it, opens it and "
"45",45,"               pulls something out from inside: a battered red leather "
"46",46,"               briefcase. Now he takes his manuscript, carefully opens the "
"47",47,"               briefcase, gently puts the manuscript inside. He closes it, "
"48",48,"               and the way he handles it, he might almost be handling a "
"49",49,"               child. Now he crosses over, opens the champagne, pours himself "
"50",50,"               a single glass, lights the one cigarette with the lone match--"
"51",51,"               there is a distinct feeling of ritual about this. He inhales "
"52",52,"               deeply, makes a toasting gesture, then drinks, smokes, smiles."
"53",53,"               HOLD BRIEFLY, then--"
"54",54,"                                                                    "
"55",55,"               LODGE - DAY"
"56",56,"               PAUL--exiting his cabin. He stops, makes a snowball, throws "
"57",57,"               it, hitting a sign."
"58",58,"                                     PAUL"
"59",59,"                         Still got it."
"60",60,"               He throws a suitcase into the trunk of his '65 MUSTANG and, "
"61",61,"               holding his leather case, he hops into the car and drives "
"62",62,"               away."
"63",63,"                                                                    "
"64",64,"               A SIGN that reads \""Silver Creek Lodge.\"" Behind the sign is "
"65",65,"               the hotel itself--old, desolate. Now the '65 Mustang comes "
"66",66,"               out of the garage, guns ahead toward the sign. As \""Shotgun\"" "
"67",67,"               by Jr. Walker and the Allstars starts, he heads off into the "
"68",68,"               mountains."
"69",69,"                                                                    "
"70",70,"               THE SKY. Gun-metal grey. The clouds seem pregnant with snow."
"71",71,"                                                                    "
"72",72,"               PAUL, driving the Mustang, the battered briefcase on the "
"73",73,"               seat beside him."
"74",74,"                                                                    "
"75",75,"               THE ROAD AHEAD. Little dainty flakes of snow are suddenly "
"76",76,"               visible."
"77",77,"                                                                    "
"78",78,"               THE CAR, going into a curve and"
"79",79,"                                                                    "
"80",80,"               PAUL, driving, and as he comes out of the curve, a stunned "
"81",81,"               look hits his face as we"
"82",82,"                                                                    "
"83",83,"               THE ROAD AHEAD--and here it comes--a mountain storm; it's as "
"84",84,"               if the top has been pulled off the sky and with no warning "
"85",85,"               whatsoever, we're into a blizzard and"
"86",86,"                                                                    "
"87",87,"               THE MUSTANG, slowing, driving deeper into the mountains."
"88",88,"                                                                    "
"89",89,"               PAUL, squinting ahead, windshield wipers on now."
"90",90,"                                                                    "
"91",91,"               THE MUSTANG, rounding another curve, losing traction--"
"92",92,"                                                                    "
"93",93,"               PAUL, a skilled driver, bringing the car easily under control."
"94",94,"                                                                    "
"95",95,"               THE ROAD"
"96",96,"               Snow is piling up."
