,line,content
9,9,CREDITS OVER:                                                   
10,10,"A FULL MOON FILLS THE FRAME -- Luminous, tinged with gold.      "
11,11,"Slowly, a penumbral shadow begins to spread across the          "
12,12,"moon's surface, darkening it from left to right...              "
13,13,                            BELLA (V.O.)
14,14,"                \""These violent delights have violent"
15,15,"                ends...\"""
16,16,... until the moon is enveloped in shadow; a new moon...        
17,17,which disappears into the darkness.                             
18,18,"OVER BLACK - A RUFFLED TULIP appears, isolated against the      "
19,19,blackness.                                                      
20,20,                            BELLA (V.O.)                        
21,21,"                \""... And in their triumph die, like             "
22,22,"                fire and powder...\""                             "
23,23,HOLD ON the tulip as the background FADES UP around it to       
24,24,reveal we're now in --                                          
25,25,
26,26, FOREST - ECU ON THE TULIP - DAY                            
27,27,"It's surrounded by the dark, lush, greenery of the forest       "
28,28,floor.                                                          
29,29,                            BELLA (V.O.)
30,30,"                \""... Which, as they kiss, consume...\""           "
31,31,"SUDDENLY A FOOT SLAMS DOWN next to the tulip, nearly            "
32,32,"crushing it. As the foot immediately lifts off again, it        "
33,33,"grazes the tulip, knocking its petals off --                    "
34,34,ON THE RUNNING PAIR OF FEET                                     
35,35,They abruptly change direction. Race on. INCLUDE BELLA          
36,36,"SWAN, desperately searching the woods -- SHORT, SURREAL CUTS    "
37,37,of her frenetic quest --
38,38,                           BELLA
39,39,                Edward!
40,40,"Ahead, through the darkness of the thick forest, she SEES       "
41,41,SUNLIGHT; a clearing. She hurtles toward it --
42,42,
43,43, MEADOW - DAY
44,44,                           BELLA
45,45,                Edward!
46,46,2
47,47,-- as Bella bursts into the sunlight. It's the meadow where        
48,48,Edward revealed his skin in the sun. But he's not here now.        
49,49,"Instead, Bella SEES --"
50,50,"ACROSS THE MEADOW -- AN OLD WOMAN, white hair framing her"
51,51,withered face. Bella's eyes widen with surprise as she
52,52,recognizes --
53,53,                           BELLA
54,54,              ... Gran?
55,55,"GRAN looks as surprised as Bella. Bella smiles and waves,"
56,56,as does Gran. Bella starts toward her but --
57,57,                           EDWARD (O.S.)
58,58,              Bella...
59,59,She spins to the voice behind her to SEE --
60,60,"EDWARD emerge from the forest, his alabaster skin in sharp         "
61,61,"contrast to the shadows. She beams at him, relieved, in"
62,62,"love... until he moves to edge of the shade, inches from"
63,63,sun's rays --                                                      
64,64,                          BELLA
65,65,              Stop - she'll see!
66,66,But Edward just smiles and steps into the sunlight.                
67,67,Sunbeams SHATTER off his skin like a thousand rainbow              
68,68,"shards, as if he were made of diamonds. An awesome sight."
69,69,"JUMP CUT TO: Edward now inches from Bella, still glistening,"
70,70,"entrancing her. She wraps an arm around his waist, then"
71,71,arranges her face into a calm expression. They turn to --          
72,72,"Gran, whose expression is calm, too. Gran's arm is"
73,73,"extended, as if she also holds someone."
74,74,"JUMP CUT TO: Bella and Edward, only feet from Gran now."
75,75,"Bella's about to present Edward, but then SEES that --"
76,76,"Gran mimics Bella's movement exactly. With growing horror,"
77,77,Bella reaches out to Gran... and touches glass!                    
78,78,PULL BACK TO FIND Gran is now surrounded by a GILDED FRAME.        
79,79,"It's a MIRROR, mounted on a wall with wallpaper reflecting a       "
80,80,surreal dreamlike version of the forest behind Bella.              
81,81,                           BELLA
82,82,              Oh my God.
83,83,"-- as she realizes that's not Gran; it's Bella, sixty-five         "
84,84,years older.
85,85,3
86,86,"Bella spins to her perfect, eternally 17-year-old Edward."
87,87,"He takes her now WRINKLED, age-spotted hand. Kisses it."
88,88,Then he leans in very close to her 83-YEAR-OLD FACE and           
89,89,whispers into her ear --                                          
90,90,                          EDWARD
91,91,              Happy birthday.
92,92,                                                  SMASH TO:       
93,93,
94,94, BELLA'S BEDROOM - MORNING
95,95,ON BELLA - her eyes snap open. She lies atop her bed. A
