"","line","content"
"1",1,"	"
"2",2," PHOENIX, ARIZONA - (DAY) - HELICOPTER SHOT"
"3",3,"	Above Midtown section of the city. It is early afternoon, a "
"4",4,"	hot mid-summer day. The city is sun-sunblanched white and "
"5",5,"	its drifted-up noises are muted in blanched their own echoes. "
"6",6,"	We fly low, heading in a downtown direction, passing over "
"7",7,"	traffic-clogged streets, parking lots, white business "
"8",8,"	buildings, neatly patterned residential districts. As we "
"9",9,"	approach downtown section, the character of the city begins "
"10",10,"	to change. It is darker and shabby with age and industry. We "
"11",11,"	see railroad tracks, smokestacks, wholesale fruit-and-"
"12",12,"	vegetable markets, old municipal buildings, empty lots.  "
"13",13,"	vegetable The very geography seems to give us a climate of "
"14",14,"	nefariousness, of back-doorness, dark and shadowy. And secret."
"15",15,"	We fly lower and faster now, as if seeking out a specific "
"16",16,"	location. A skinny, high old hotel comes into view. On its "
"17",17,"	exposed brick side great painted letters advertise \""Transients-"
"18",18,"	Low Weekly Rates-Radio in Every Room.\"" We pause long enough "
"19",19,"	to establish the shoddy character of this hotel. Its open, "
"20",20,"	curtainless windows, its silent resigned look so "
"21",21,"	characteristic of such hole-and-corner hotels. We move forward "
"22",22,"	with purposefulness and-toward a certain window. The sash is "
"23",23,"	raised as high as it can go, but the shade is pulled down to "
"24",24,"	three or four inches of the inside sill, as if the occupants "
"25",25,"	of the room within wanted privacy but needed air. We are "
"26",26,"	close now, so that only the lower half of the window frame "
"27",27,"	is in shot. No sounds come from within the room."
"28",28,"	Suddenly, we tip downward, go to the narrow space between "
"29",29,"	shade and sill, peep into the room."
"30",30,"	A young woman is stretched out on the mussed bed. She wears "
"31",31,"	a full slip, stockings, no shoes. She lies in and attitude "
"32",32,"	of physical relaxation, but her face, seen in the dimness of "
"33",33,"	the room, betrays a certain inner-tension, worrisome "
"34",34,"	conflicts. She is MARY CRANE, an tension, attractive girl "
"35",35,"	nearing the end of her twenties and her rope."
"36",36,"	A man stands beside the bed, only the lower half of his figure "
"37",37,"	visible. We hold on this tableau for a long moment, then "
"38",38,"	start forward. As we pass under the window shade,"
"39",39,"							 "
"40",40,"	"
"41",41," THE HOTEL ROOM - (DAY)"
"42",42,"	A small room, a slow fan buzzing on a shelf above the narrow "
"43",43,"	bed. A card of hotel rules is pasted on the mirror above the "
"44",44,"	bureau. An unopened suitcase and a woman's large, straw open-"
"45",45,"	top handbag are on the bureau."
"46",46,"	On the table beside the bed there are a container of Coco-"
"47",47,"	Cola and an unwrapped, untouched egg-salad sandwich. There "
"48",48,"	is no radio."
"49",49,"	The man standing by the bed, wearing only trousers, T-shirt "
"50",50,"	and sox, is SAM LOOMIS, a good-looking, sensual shirt man "
