"","line","sentiment","n","paragraph"
"1",8,"sadness",1,1
"2",9,"anticipation",2,1
"3",9,"joy",1,1
"4",9,"surprise",1,1
"5",20,"anticipation",1,1
"6",20,"fear",1,1
"7",20,"joy",1,1
"8",20,"surprise",1,1
"9",20,"trust",1,1
"10",21,"anticipation",1,1
"11",21,"joy",1,1
"12",21,"trust",1,1
"13",23,"trust",1,1
"14",27,"trust",1,1
"15",34,"anger",2,1
"16",34,"disgust",2,1
"17",34,"fear",2,1
"18",34,"sadness",2,1
"19",37,"anger",1,1
"20",37,"sadness",1,1
"21",38,"anticipation",1,1
"22",40,"anger",1,1
"23",40,"disgust",1,1
"24",40,"fear",1,1
"25",40,"sadness",1,1
"26",42,"anticipation",1,1
"27",43,"anger",1,1
"28",43,"disgust",1,1
"29",43,"fear",1,1
"30",43,"sadness",1,1
"31",46,"anticipation",1,1
"32",46,"fear",1,1
"33",48,"joy",1,1
"34",48,"trust",1,1
"35",53,"anticipation",1,1
"36",53,"trust",2,1
"37",55,"sadness",1,1
"38",58,"anger",1,1
"39",58,"disgust",1,1
"40",58,"fear",1,1
"41",62,"joy",1,1
"42",62,"surprise",1,1
"43",62,"trust",1,1
"44",63,"disgust",1,1
"45",72,"anticipation",1,1
"46",72,"joy",1,1
"47",72,"surprise",1,1
"48",74,"anger",1,1
"49",74,"disgust",1,1
"50",83,"sadness",1,1
"51",86,"sadness",1,1
"52",88,"joy",1,1
"53",88,"trust",1,1
"54",92,"anger",1,1
"55",92,"fear",1,1
"56",92,"sadness",1,1
"57",92,"surprise",1,1
"58",95,"disgust",1,1
"59",100,"fear",1,1
"60",100,"joy",2,1
"61",100,"surprise",1,1
"62",100,"trust",2,1
"63",105,"anticipation",1,1
"64",111,"trust",1,1
"65",121,"anticipation",1,1
"66",121,"joy",1,1
"67",121,"surprise",1,1
"68",121,"trust",1,1
"69",123,"anticipation",1,1
"70",135,"anger",1,1
"71",135,"anticipation",1,1
"72",135,"disgust",1,1
"73",135,"fear",2,1
"74",141,"anticipation",1,1
"75",141,"joy",1,1
"76",141,"trust",1,1
"77",143,"anger",1,1
"78",143,"anticipation",1,1
"79",143,"disgust",1,1
"80",143,"joy",1,1
"81",143,"surprise",1,1
"82",145,"anger",1,2
"83",145,"disgust",1,2
"84",146,"anger",1,2
"85",146,"disgust",1,2
"86",158,"anger",1,2
"87",158,"anticipation",1,2
"88",158,"disgust",1,2
"89",158,"fear",1,2
"90",158,"joy",1,2
"91",158,"trust",1,2
"92",160,"joy",1,2
"93",167,"anticipation",1,2
"94",167,"joy",1,2
"95",167,"sadness",2,2
"96",167,"trust",1,2
"97",181,"anger",1,2
"98",181,"fear",1,2
"99",181,"sadness",1,2
"100",184,"anger",2,2
"101",184,"fear",2,2
"102",184,"sadness",2,2
"103",185,"anticipation",1,2
"104",185,"joy",1,2
"105",185,"trust",1,2
"106",196,"anger",1,2
"107",196,"disgust",1,2
"108",196,"fear",1,2
"109",196,"sadness",1,2
"110",198,"anger",1,2
"111",198,"disgust",1,2
"112",198,"fear",1,2
"113",198,"sadness",1,2
"114",199,"joy",1,2
"115",199,"trust",1,2
"116",200,"joy",1,2
"117",200,"sadness",1,2
"118",222,"anger",1,2
"119",222,"disgust",1,2
"120",222,"fear",1,2
"121",225,"sadness",1,2
"122",230,"trust",1,2
"123",235,"joy",1,2
"124",235,"trust",1,2
"125",240,"sadness",1,2
"126",245,"sadness",1,2
"127",249,"anticipation",1,2
"128",249,"joy",1,2
"129",261,"trust",1,2
"130",266,"sadness",1,2
"131",272,"anger",1,2
"132",272,"fear",1,2
"133",272,"sadness",1,2
"134",283,"anticipation",1,2
"135",287,"disgust",2,2
"136",288,"anticipation",1,2
"137",288,"joy",1,2
"138",288,"sadness",2,2
"139",288,"surprise",1,2
"140",292,"anticipation",1,3
"141",292,"sadness",1,3
"142",297,"fear",1,3
"143",305,"anticipation",1,3
"144",305,"fear",1,3
"145",310,"joy",1,3
"146",310,"trust",1,3
"147",313,"disgust",1,3
"148",334,"anger",1,3
"149",334,"disgust",1,3
"150",334,"fear",1,3
