,line,content
10,10,All gave some. Some gave all.
11,11,1   OVER BLACK                                                  1
12,12,    The groan of tank treads drowns out THE CALL TO PRAYER as
13,13,    an entire MARINE COMPANY advances over the top of us.
14,14,"2   EXT. STREET, FALLUJAH, IRAQ - DAY                           2"
15,15,    The sun melts over squat residences on a narrow street.
16,16,    MARINE COMPANY creeps toward us like a cautious Goliath.
17,17,    FOOT SOLDIERS walk alongside Humvees and tanks.
18,18,                              COMMANDING OFFICER (OS)
19,19,                        (radio chatter)
20,20,"                 Charlie Bravo-3, we got eyes on you from"
21,21,"                 the east. Clear to proceed, over."
22,22,"3   EXT. ROOFTOP, \""OVERWATCH\"" - SAME                            3"
23,23,    Sun glints off a slab of corrugated steel. Beneath it--
24,24,"    CHRIS KYLE lays prone, dick in the dirt, eye to the glass"
25,25,    of a .300 Win-Mag sniper rifle. He's Texas stock with a
26,26,"    boyish grin, blondish goatee and vital blue eyes. Both"
27,27,"    those eyes are open as he tracks the scene below,"
28,28,    sweating his ass off in the shade of steel.
29,29,                              CHRIS KYLE
30,30,                 Fucking hot box.
31,31,"    GOAT (24, Arkansas Marine) lies beside him, woodsy and"
32,32,"    outspoken, watching dirt-devils swirl in the street."
33,33,                              GOAT
34,34,                 Dirt over here tastes like dog shit.
35,35,                              CHRIS KYLE
36,36,                 I guess you'd know.
37,37,    Goat balks and fixes his M4 on the rooftop door.
38,38,    CHRIS SCOPE POV
39,39,"    TRACK ACROSS bombed-out buildings, twisted metal and"
40,40,    golden-domed mosques. Ragged curtains flutter out a
41,41,    window. Cat-tails on the river sway the same direction.
42,42,    We see him studying windage; we see what he's thinking--
43,43,    SFX: A LOW FREQUENCY BUZZ escalates over picture as his
44,44,    concentration deepens. Cross-hairs land on--
45,45,    A MAN ON CELL PHONE watches the convoy from a rooftop.
46,46,                        (
47,47,
48,48,14)                          
49,49,                       CHRIS KYLE
50,50,                 (keys mike)
51,51,"          I got a military-aged male, on a cell"
52,52,"          phone, watching the convoy. Over."
53,53,                       COMMANDING OFFICER (OS)
54,54,          If you think he's reporting troop
55,55,          movement you have a green-light. Your
56,56,          call. Over.
57,57,                       GOAT (OC)
58,58,          He could be calling his old lady.
59,59,"MAN ON CELL studies the convoy, his hair tossed by wind."
60,60,"CROSS-HAIR push left of target, compensating for windage."
61,61,"SFX: Chris takes a deep inhale, holds it, then expels."
62,62,His finger is taking up trigger-slack when the man dips
63,63,his shoulder slightly. Chris holds off as--
64,64,MAN ON CELL hangs up and steps away.
65,65,                       CHRIS KYLE
66,66,                 (keys mike)
67,67,          He stepped off.
68,68,Chris sucks air. Close. The ambient world floods back in.
69,69,"Barked orders, diesel engines and--"
70,70,A WOMAN AND KID exit the same structure. They're headed
71,71,up the sidewalk but cut sharply into the street.
72,72,                       CHRIS KYLE
73,73,                 (keys mike)
74,74,"          Hold up. I got a woman and a kid, 200"
75,75,"          yards out, moving toward the convoy."
76,76,(ECU)-- The woman cradles something beneath her robes.
77,77,                       CHRIS KYLE
78,78,          Her arms aren't swinging. She's carrying
79,79,          something.
80,80,CROSS-HAIRS ON WOMAN as she pulls a cylindrical object
81,81,from her robes. His vision obscured but--
82,82,                       CHRIS KYLE
83,83,          She just pulled a grenade. An RKG Russian
84,84,          grenade. I think she gave it to the kid.
85,85,                       COMMANDING OFFICER (OS)
86,86,          --you say a woman and kid?
87,87,                               (
88,88,
89,89,14)                       
90,90,"    SFX: his heart-beat, THUMP-THUMP THUMP-THUMP THUMP-THUMP."
91,91,                              CHRIS KYLE
92,92,                 You got eyes on this? Can you confirm?
93,93,                              COMMANDING OFFICER (OS)
94,94,                 Negative. You know the ROEs. Your call.
95,95,                              GOAT (OC)
96,96,                 They fry you if you're wrong. Send your
97,97,                 ass to Leavenworth.
98,98,    THE KID moves toward the convoy with the grenade.
99,99,                             CHRIS KYLE (OC)
100,100,                 Fuck--
101,101,    MOTHER motions the Kid to hurry along (ECU)-- her robes
102,102,"    flutter, trash blows in the street, the dust off her"
103,103,    son's footsteps; all blowing the same direction.
104,104,    THE KID sprints toward the Marines.
105,105,    IN THE STREET
106,106,    YOUNG MARINES. Wading into war. Boots scuffing dirt.
107,107,    CLOSE ON CHRIS
108,108,    His exhale hisses from tobacco-stained teeth. Breathe it
109,109,"    down. He struggles to get calm, fighting for control."
110,110,    SFX: THUMP-THUMP THUMP-THUMP THUMP--
111,111,"    CROSS-HAIRS left of the running target, leading him,"
112,112,    compensating for a dozen different considerations as--
113,113,    He pauses upon exhale. The world goes quiet. Landscape
114,114,    pulses with color and focus. He stokes the trigger and--
115,115,    THE BULLET
116,116,    Leaps from the barrel. Cracks like a whip. The .300 round
117,117,"    hurls forward, glinting as it enters the flesh of--"
118,118,    A WHITE-TAIL BUCK
119,119,"    It staggers, draws and topples to the ground. We are--"
120,120,"4   EXT. HILLS, WEST TEXAS - PRE-DAWN                           4"
121,121,    A field shrouded in fog. CHRIS KYLE(8) jumps from a deer
122,122,"    blind, innocent and excited, running toward the buck."
123,123,                             (
124,124,
125,125,14)                          
126,126,                            MAN'S VOICE
127,127,               Get back here.
128,128,"    Chris stops, turns back. WAYNE KYLE, his father, is"
129,129,    sturdy and earnest with mutton chops and Texas calm.
130,130,                            WAYNE
131,131,               Don't ever leave your gun in the dirt.
132,132,                            CHRIS
133,133,"               Yes, sir."
134,134,                            WAYNE
135,135,"               Helluva shot, son. You got a gift. You're"
136,136,               gonna make a fine hunter someday.
137,137,"    Chris nods, clear-eyed, as if hearing the whisper of"
138,138,"    destiny. He grabs the .30-06, running again, bounding to--"
139,139,    THE BUCK
140,140,    Glassy brown eyes look up at Chris. It's still alive.
141,141,                            WAYNE
142,142,               Everything dies to give life.
143,143,                            CHRIS
144,144,               Can it see me?
145,145,                            WAYNE
146,146,"               It's a deer, son."
147,147,"    Chris processes his first kill, watching as-- (ECU) a"
148,148,    flea crawls around the animal's inner-ear.
149,149,                            WAYNE KYLE
150,150,                      (hands him hunting knife)
151,151,"               You shot it, you deal with it."
152,152,    Chris straddles the deer. It tries to gouge him. He looks
153,153,    frightened but drags the blade across its neck.
154,154,5   OMITTED                                                      5
155,155,6   INT. CHURCH                                                  6
156,156,"    A Protestant church. CHRIS is dressed in Sunday best,"
157,157,    shuffling pages of a LITTLE BLUE BIBLE to create breeze.
158,158,                             (
159,159,
160,160,14)                          
161,161,                            PASTOR
162,162,               We don't see with his eyes so we don't
163,163,               know the glory of his plan. Our lives
164,164,               unfold before us like puzzling
165,165,               reflections in a mirror. But on the day
166,166,"               we rise, we will see with clarity and"
167,167,               understand the mystery of his ways--
168,168,"     JEFF(6), his reedy little brother, watches Chris slip the"
169,169,     Bible in his pocket. Jeff laughs and gets smacked by--
170,170,"     DEBBIE, their mother. She wears big oval glasses and runs"
171,171,     a wayward-boys home with that same steady hand.
172,172,7    OMITTED                                                     7
173,173,8    INT. CHRIS' BEDROOM                                         8
174,174,"     Dust motes drift across a dresser, settling on a Pop-"
175,175,"     Warner football, that BLUE BIBLE, and METALLIC TOY"
176,176,     SOLDIERS guarding the bullet casing from his first buck.
177,177,                            WAYNE KYLE (VO)
178,178,               There are three types of people in this
179,179,"               world. Sheep, wolves and sheepdogs."
180,180,     PUSH THROUGH the modest ranch house into--
181,181,9    INT. DINING ROOM                                            9
182,182,     WAYNE lectures his boys over venison.
183,183,                            WAYNE KYLE
184,184,               Some people prefer to believe that evil
185,185,"               doesn't exist in the world, and if it"
186,186,               ever darkened their doorstep they
187,187,               wouldn't know how to protect
188,188,               themselves... those are the sheep.
189,189,     Jeff bites back tears. Chris looks troubled.
190,190,10   EXT. SCHOOLYARD                                             10
191,191,"     FROM THE BACK, we watch a BIG BULLY pummel a KID ON THE"
192,192,     GROUND. His meaty fists coming down repeatedly as--
193,193,                            WAYNE KYLE (VO)
194,194,               Then you got predators who use violence
195,195,               to prey on the weak. They're the wolves.
196,196,                                (
197,197,
198,198,14)                      
199,199,"     KID ON THE GROUND is JEFF, his nose bloody. PUSH TOWARD"
200,200,     the fight--(ECU) blood flecks fly from the Bully's fist.
201,201,                               WAYNE KYLE (VO)
202,202,                  Then there are those blessed with the
203,203,                  gift of aggression and an overpowering
204,204,                  need to protect the flock.
205,205,     A FIST CONNECTS with BIG BULLY's temple. He goes down.
206,206,"     Chris stands over the bully, beating the tar out of him."
207,207,                               WAYNE KYLE (VO)
208,208,                  These men are the rare breed that live to
209,209,                  confront the wolf--
210,210,11   EXT. FIELD                                                 11
211,211,     CHRIS stands with his arms extended. Wind blows dirt off
212,212,     his palms and it plumes out across the land.
213,213,                               WAYNE KYLE (VO)
214,214,                  They are the sheepdog.
215,215,12   INT. DINING ROOM                                           12
216,216,     WAYNE removes his belt and lays it on the table. CHRIS
217,217,"     looks at it, worried."
218,218,                               WAYNE KYLE
219,219,                  Now we're not raising any sheep in this
220,220,                  family and I will whoop your ass if you
221,221,                  turn into a wolf--
222,222,                               DEBBY
223,223,                  Wayne--
224,224,                               WAYNE
225,225,                  But we take care of our own. And if
226,226,                  someone picks a fight with you or bullies
227,227,"                  your brother, you have my permission to"
228,228,                  finish it.
229,229,                               CHRIS
230,230,                  The guy was picking on Jeff.
231,231,                               WAYNE KYLE
232,232,                  That true?
233,233,                               JEFF
234,234,                         (eye swollen)
235,235,"                  Yes sir... Yes, he was..."
236,236,                               (
237,237,
238,238,14)                         
239,239,                              WAYNE KYLE
240,240,                        (turns to Chris)
241,241,                 And did you finish it?
242,242,"     Chris shows the swollen knuckles of his hand, and nods."
243,243,                              WAYNE
244,244,                 Then you know who you are...
245,245,13   EXT. BARN                                                   13
246,246,     A GROWN MAN(CHRIS) exits the barn into the light of day.
247,247,"     Behind him, horns of dozens of bucks cover the wall."
248,248,                              WAYNE (VO)
249,249,                 You know your purpose.
250,250,     The barn door closes leaving us in brindled darkness.
251,251,"                              \""AMERICAN SNIPER\"""
252,252,14   EXT. RODEO ARENA                                            14
253,253,     A hand grips the tie on a bronc. CHRIS sits bareback atop
254,254,"     the horse, its nostrils steaming, eyes shock wide. (ECU)--"
255,255,     a hair-line crack along its right front hoof.
256,256,     BUZZER SOUNDS. GATE OPENS. The bronco leaps out. Empty
257,257,     stands blur past. The Bronc and Chris united in a futile
258,258,"     struggle. He leans right, the bronc circles right,"
259,259,     staying off that bad hoof. Chris makes the buzzer but--
260,260,     He gets tossed on dismount. The bronco stomps his hand.
261,261,     He scrambles out of the ring as RODEO CLOWNS distract it.
262,262,"     FIND JEFF(19) ringside, with tight lips and severe eyes."
263,263,"     He looks over the empty arena, laughing."
264,264,15   INT. FORD TRUCK                                             15
265,265,     Headlights rattle over a dirt road. JEFF drives. CHRIS
266,266,"     rides, BAG OF ICE on hand, BELT BUCKLE prize on the dash."
267,267,"     He stares into the field where A WILD HORSE, races"
268,268,"     alongside them, a spectral image in the darkness."
269,269,                              JEFF
270,270,                 Wasn't nobody there and you come away
271,271,                 with a belt buckle too damn big to wear.
