,line,content
15,15,               CREDITS:  White lettering over a back background.  The
16,16,               THUNDEROUS SOUNDS OF A MASSIVE NAVAL BARRAGE are heard.  The
17,17,"               power is astonishing.  It roars through the body, blows back"
18,18,               the hair and rattles the ears.
19,19,               FADE IN:
20,20,               
21,21, OMAHA BEACH - NORMANDY - DAWN
22,22,               The ROAR OF NAVAL GUNS continues but now WE SEE THEM FIRING.
23,23,               Huge fifteen inch guns.
24,24,               SWARM OF LANDING CRAFT
25,25,               Heads directly into a nightmare.  MASSIVE EXPLOSIONS from
26,26,               German artillery shells and mined obstacles tear apart the
27,27,"               beach.  Hundreds of German machine guns, loaded with tracers,"
28,28,               pour out a red snowstorm of bullets.
29,29,                                     OFFSHORE
30,30,                         SUPERIMPOSITION:
31,31,"                                     OMAHA BEACH, NORMANDY"
32,32,"                         June 6, 1944"
33,33,                                     0600 HOURS
34,34,                         HUNDREDS OF LANDING CRAFT Each holding
35,35,"                         thirty men, near the beaches."
36,36,                                     THE CLIFFS
37,37,"                         At the far end of the beach, a ninety-"
38,38,                         foot cliff.  Topped by bunkers.
39,39,                         Ringed by fortified machine gun nests.
40,40,                         A clear line-of-fire down the entire
41,41,                         beach.
42,42,                                     TEN LANDING CRAFT
43,43,                         Make their way toward the base of
44,44,                         the cliffs.  Running a gauntlet of
45,45,                         explosions.
46,46,                                     SUPERIMPOSITION:
47,47,                         THE FOLLOWING IS BASED ON A TRUE
48,48,                         STORY THE LEAD LANDING CRAFT Plows
49,49,                         through the waves.
50,50,               THE CAMERA MOVES PAST THE FACES OF THE MEN
51,51,               Boys.  Most are eighteen or nineteen years old.  Tough.
52,52,               Well-trained.  Trying to block out the fury around them.
53,53,               A DIRECT HIT ON A NEARBY LANDING CRAFT
54,54,"               A huge EXPLOSION of fuel, fire, metal and flesh."
55,55,               THE LEAD LANDING CRAFT
56,56,               The Motorman holds his course.  Shells EXPLODE around them.
57,57,               FLAMING OIL BURNS on the water.  CANNON FIRE SMASHES into
58,58,               the bow.
59,59,               THE MOTORAMAN IS RIPPED TO BITS
60,60,               BLOOD AND FLESH shower the men behind him.  The mate takes
61,61,               the controls.
62,62,                                     A YOUNG SOLDIER
63,63,                         His face covered with the remains of
64,64,                         the motorman.  Starts to lose it.
65,65,                         Begins to shudder and weep.  His
66,66,                         name is DeLancey.
67,67,               THE BOYS AROUND HIM
68,68,               Do their best to stare straight ahead.  But the fear infects
69,69,               them.  It starts to spread.
70,70,                                     A FIGURE
71,71,                         Pushes through the men.  Puts himself
