"","line","sentiment","n","paragraph"
"1",8,"anticipation",1,1
"2",9,"sadness",1,1
"3",12,"fear",1,1
"4",13,"trust",1,1
"5",14,"anger",1,1
"6",14,"trust",1,1
"7",16,"disgust",1,1
"8",16,"sadness",1,1
"9",18,"joy",1,1
"10",18,"sadness",1,1
"11",19,"anticipation",1,1
"12",22,"trust",1,1
"13",27,"anger",1,1
"14",27,"fear",1,1
"15",27,"sadness",1,1
"16",27,"surprise",1,1
"17",33,"trust",1,1
"18",39,"anticipation",1,1
"19",39,"fear",2,1
"20",44,"fear",1,1
"21",44,"sadness",1,1
"22",45,"anger",1,1
"23",45,"fear",1,1
"24",45,"joy",1,1
"25",45,"surprise",2,1
"26",46,"trust",1,1
"27",47,"anger",1,1
"28",47,"fear",1,1
"29",49,"anger",1,1
"30",49,"fear",1,1
"31",51,"anger",1,1
"32",51,"fear",1,1
"33",60,"trust",1,1
"34",62,"disgust",1,1
"35",62,"fear",1,1
"36",62,"sadness",1,1
"37",63,"fear",1,1
"38",64,"trust",1,1
"39",65,"disgust",1,1
"40",65,"trust",1,1
"41",66,"anticipation",1,1
"42",66,"joy",1,1
"43",66,"trust",1,1
"44",67,"disgust",1,1
"45",71,"fear",1,1
"46",71,"trust",1,1
"47",72,"surprise",1,1
"48",73,"trust",1,1
"49",74,"anger",1,1
"50",74,"sadness",1,1
"51",75,"trust",1,1
"52",79,"anger",1,1
"53",79,"disgust",1,1
"54",81,"trust",1,1
"55",82,"trust",1,1
"56",86,"anger",1,1
"57",89,"anger",1,1
"58",89,"anticipation",1,1
"59",89,"disgust",1,1
"60",89,"fear",1,1
"61",89,"sadness",1,1
"62",89,"surprise",1,1
"63",92,"anger",2,1
"64",92,"fear",1,1
"65",92,"sadness",1,1
"66",93,"disgust",1,1
"67",93,"joy",1,1
"68",94,"surprise",1,1
"69",96,"trust",1,1
"70",98,"disgust",1,1
"71",98,"fear",1,1
"72",98,"sadness",1,1
"73",100,"trust",1,1
"74",102,"trust",1,1
"75",104,"anticipation",1,1
"76",108,"trust",2,1
"77",109,"trust",1,1
"78",115,"trust",2,1
"79",117,"trust",1,1
"80",118,"disgust",1,1
"81",120,"trust",1,1
"82",125,"trust",1,1
"83",130,"trust",1,1
"84",131,"anger",2,1
"85",131,"disgust",1,1
"86",131,"fear",2,1
"87",131,"surprise",1,1
"88",136,"anticipation",1,1
"89",137,"fear",1,1
"90",139,"anticipation",1,1
"91",143,"trust",1,1
"92",151,"disgust",1,1
"93",158,"anticipation",1,1
"94",159,"trust",1,1
"95",165,"trust",1,1
"96",167,"anger",1,1
"97",167,"fear",1,1
"98",167,"joy",1,1
"99",167,"trust",1,1
"100",182,"fear",1,1
"101",184,"anger",1,1
"102",184,"disgust",1,1
"103",188,"anticipation",1,1
"104",188,"fear",1,1
"105",188,"trust",1,1
"106",190,"fear",1,1
"107",190,"sadness",1,1
"108",191,"anger",1,1
"109",193,"anger",1,1
"110",193,"fear",1,1
"111",196,"joy",1,1
"112",197,"trust",1,1
"113",198,"joy",1,1
"114",198,"surprise",1,1
"115",210,"sadness",1,2
"116",212,"disgust",1,2
"117",213,"joy",1,2
"118",217,"anger",1,2
"119",217,"disgust",1,2
"120",223,"trust",1,2
"121",235,"anger",1,2
"122",235,"disgust",1,2
"123",235,"fear",1,2
"124",235,"sadness",1,2
"125",244,"anger",4,2
"126",244,"disgust",4,2
"127",245,"disgust",1,2
"128",255,"anger",4,2
"129",255,"disgust",4,2
"130",256,"anger",1,2
"131",256,"anticipation",1,2
"132",256,"joy",1,2
"133",256,"surprise",1,2
"134",258,"anger",3,2
"135",258,"disgust",3,2
"136",259,"trust",1,2
"137",261,"trust",1,2
"138",262,"fear",1,2
"139",263,"anticipation",1,2
"140",263,"fear",1,2
"141",264,"anger",1,2
"142",268,"anger",1,2
"143",268,"disgust",1,2
"144",273,"trust",1,2
"145",276,"anger",1,2
"146",276,"fear",1,2
"147",279,"anticipation",1,2
"148",279,"trust",1,2
"149",281,"anticipation",1,2
"150",287,"joy",1,2
"151",287,"surprise",1,2
"152",287,"trust",1,2
"153",289,"fear",1,2
"154",294,"disgust",1,2
"155",294,"sadness",1,2
"156",297,"joy",1,2
"157",300,"trust",1,2
"158",301,"trust",1,2
"159",302,"sadness",1,2
"160",302,"trust",1,2
"161",303,"anger",1,2
"162",303,"disgust",1,2
"163",303,"sadness",1,2
"164",307,"anger",1,2
"165",307,"fear",1,2
"166",310,"trust",1,2
"167",316,"fear",1,2
"168",316,"trust",1,2
"169",317,"trust",1,2
"170",318,"anticipation",1,2
"171",318,"joy",1,2
"172",318,"trust",1,2
"173",320,"trust",1,2
"174",321,"trust",2,2
"175",327,"trust",1,2
"176",331,"anticipation",1,2
"177",331,"joy",1,2
"178",331,"surprise",1,2
"179",331,"trust",1,2
"180",334,"trust",1,2
"181",339,"sadness",1,2
"182",344,"fear",1,2
"183",344,"sadness",1,2
"184",350,"fear",1,2
"185",350,"sadness",1,2
"186",350,"trust",1,2
"187",352,"fear",1,2
"188",352,"joy",1,2
"189",353,"anticipation",1,2
"190",353,"fear",1,2
"191",353,"sadness",1,2
"192",354,"anticipation",1,2
"193",360,"anticipation",1,2
"194",360,"joy",1,2
"195",362,"fear",1,2
"196",362,"sadness",1,2
"197",369,"anticipation",1,2
"198",369,"fear",1,2
"199",369,"joy",1,2
"200",369,"surprise",1,2
"201",369,"trust",1,2
"202",371,"anger",1,2
"203",371,"sadness",1,2
"204",375,"trust",1,2
"205",378,"anger",1,2
"206",378,"disgust",1,2
"207",378,"fear",1,2
"208",378,"sadness",1,2
"209",385,"fear",2,2
"210",389,"sadness",1,2
"211",389,"trust",1,2
"212",390,"anger",1,2
"213",390,"disgust",1,2
"214",390,"fear",1,2
"215",391,"anticipation",1,2
"216",391,"joy",1,2
"217",391,"sadness",1,2
"218",391,"trust",1,2
"219",392,"trust",1,2
"220",396,"anticipation",1,2
"221",408,"anticipation",1,3
"222",410,"anticipation",1,3
"223",410,"sadness",1,3
"224",410,"surprise",1,3
"225",418,"joy",1,3
"226",419,"trust",1,3
"227",420,"anticipation",1,3
"228",420,"joy",1,3
"229",420,"trust",1,3
"230",422,"anticipation",1,3
"231",423,"anticipation",1,3
"232",423,"joy",1,3
"233",423,"trust",1,3
"234",425,"anticipation",1,3
"235",425,"joy",1,3
"236",425,"surprise",1,3
"237",426,"joy",1,3
"238",432,"fear",1,3
"239",434,"fear",1,3
"240",436,"trust",1,3
"241",441,"anger",1,3
"242",441,"joy",1,3
"243",441,"surprise",1,3
"244",449,"trust",1,3
"245",450,"anticipation",1,3
"246",450,"surprise",1,3
"247",450,"trust",1,3
"248",451,"surprise",1,3
"249",453,"trust",1,3
"250",458,"joy",2,3
"251",458,"trust",1,3
"252",462,"disgust",1,3
"253",464,"fear",1,3
"254",468,"anticipation",1,3
"255",468,"joy",1,3
"256",469,"anticipation",1,3
"257",469,"fear",1,3
"258",469,"sadness",1,3
"259",473,"anger",1,3
"260",473,"disgust",1,3
"261",477,"joy",1,3
"262",477,"surprise",1,3
"263",484,"fear",1,3
"264",488,"anticipation",1,3
"265",489,"fear",1,3
"266",489,"joy",1,3
"267",489,"surprise",1,3
"268",503,"trust",1,3
"269",505,"trust",1,3
"270",517,"anticipation",1,3
"271",520,"anticipation",1,3
"272",533,"anticipation",1,3
"273",533,"trust",1,3
"274",535,"trust",1,3
"275",541,"joy",1,3
"276",541,"sadness",1,3
"277",542,"anticipation",1,3
"278",542,"joy",2,3
"279",542,"surprise",1,3
"280",546,"joy",2,3
"281",546,"trust",2,3
"282",553,"anticipation",1,3
"283",553,"joy",1,3
"284",564,"joy",1,3
"285",566,"joy",1,3
"286",572,"anticipation",1,3
"287",572,"fear",1,3
"288",580,"anticipation",1,3
"289",580,"fear",1,3
"290",581,"joy",1,3
"291",588,"anger",1,3
"292",591,"joy",1,3
"293",592,"fear",1,3
"294",592,"joy",1,3
"295",593,"anticipation",1,3
"296",594,"joy",1,3
"297",597,"anticipation",1,3
"298",597,"joy",1,3
"299",597,"surprise",1,3
"300",597,"trust",1,3
"301",601,"anticipation",1,4
"302",607,"sadness",1,4
"303",618,"joy",2,4
"304",618,"trust",1,4
"305",620,"fear",1,4
"306",620,"joy",1,4
"307",620,"surprise",1,4
"308",624,"fear",1,4
"309",631,"fear",2,4
"310",631,"trust",1,4
"311",633,"anger",1,4
"312",633,"disgust",1,4
"313",633,"fear",1,4
"314",633,"sadness",1,4
"315",634,"anger",1,4
"316",634,"disgust",1,4
"317",634,"fear",1,4
"318",634,"sadness",1,4
"319",634,"surprise",1,4
"320",641,"trust",1,4
"321",643,"sadness",1,4
"322",643,"surprise",1,4
"323",644,"anticipation",1,4
"324",653,"joy",1,4
"325",653,"surprise",1,4
"326",653,"trust",1,4
"327",654,"sadness",1,4
"328",657,"sadness",2,4
"329",657,"trust",1,4
"330",664,"joy",1,4
"331",665,"surprise",1,4
"332",668,"trust",1,4
"333",674,"joy",2,4
"334",674,"trust",2,4
"335",676,"anticipation",1,4
"336",676,"joy",1,4
"337",676,"surprise",1,4
"338",677,"anticipation",1,4
"339",677,"joy",1,4
"340",677,"surprise",1,4
"341",682,"anticipation",2,4
"342",682,"joy",1,4
"343",682,"surprise",1,4
"344",686,"anticipation",1,4
"345",686,"joy",1,4
"346",686,"surprise",1,4
"347",686,"trust",1,4
"348",688,"trust",1,4
"349",716,"anger",1,4
"350",716,"disgust",1,4
"351",716,"fear",1,4
"352",716,"sadness",1,4
"353",718,"anticipation",1,4
"354",718,"joy",1,4
"355",718,"surprise",1,4
"356",718,"trust",1,4
"357",722,"anticipation",1,4
"358",722,"joy",1,4
"359",722,"surprise",1,4
"360",722,"trust",1,4
"361",728,"fear",1,4
"362",728,"sadness",1,4
"363",730,"anger",1,4
"364",730,"disgust",1,4
"365",730,"fear",1,4
"366",730,"sadness",1,4
"367",735,"disgust",1,4
"368",735,"sadness",1,4
"369",740,"trust",1,4
"370",742,"joy",1,4
"371",745,"anticipation",1,4
"372",745,"disgust",1,4
"373",745,"sadness",1,4
"374",746,"fear",1,4
"375",747,"sadness",1,4
"376",749,"anticipation",2,4
"377",750,"anger",1,4
"378",750,"sadness",1,4
"379",753,"anticipation",1,4
"380",755,"anticipation",1,4
"381",760,"disgust",1,4
"382",760,"sadness",1,4
"383",766,"anger",1,4
"384",766,"disgust",1,4
"385",766,"sadness",1,4
"386",768,"trust",1,4
"387",770,"joy",1,4
"388",771,"trust",1,4
"389",773,"trust",1,4
"390",775,"trust",1,4
"391",780,"fear",1,4
"392",787,"anticipation",1,4
"393",787,"fear",1,4
"394",788,"trust",1,4
"395",790,"anticipation",2,4
"396",790,"fear",3,4
"397",790,"sadness",1,4
"398",790,"trust",1,4
"399",794,"sadness",1,4
"400",796,"anger",1,4
"401",796,"fear",1,4
"402",796,"sadness",1,4
"403",796,"surprise",1,4
"404",799,"fear",1,4
"405",799,"sadness",1,4
"406",801,"fear",1,5
"407",802,"anger",1,5
"408",802,"disgust",1,5
"409",802,"fear",1,5
"410",802,"sadness",1,5
"411",804,"fear",1,5
"412",804,"trust",2,5
"413",805,"trust",1,5
"414",806,"trust",1,5
"415",807,"fear",1,5
"416",807,"trust",1,5
"417",808,"fear",1,5
"418",808,"trust",1,5
