"","line","content"
"1",1,"     "
"2",2,"  COUNTRY CHURCH  DAY"
"3",3,"     The white cross on the church steeple stands against blue sky."
"4",4,"     The church bell rings, resonating."
"5",5,"     Mass has let out.  Small church, small congregation.  The dirt"
"6",6,"     road in front is lined with pick-up trucks and parishioners on"
"7",7,"     foot heading to outlying farms and homes.  An old two-story"
"8",8,"     house sits across the road.  Lone."
"9",9,"     "
"10",10,"  OLD HOUSE  DAY"
"11",11,"     Sunlight comes through the soot on the windows, more brown than"
"12",12,"     bright.  SOMERSET, 45, in a suit and tie, stands in this empty"
"13",13,"     second-story room.  He looks around, at the ceiling, at the worn"
"14",14,"     wooden floor, at the peeling wallpaper on the walls."
"15",15,"     Somerset walks to one wall where the current wallpaper is peeled"
"16",16,"     away to reveal flowery wallpaper underneath.  He runs his finger"
"17",17,"     across one of the pale red roses that decorates the older paper."
"18",18,"     He pushes the grime away, brings the rose out more clearly."
"19",19,"     He pulls at the edge of the paper, carefully ripping off a"
"20",20,"     roughly squared section with the rose at its center."
"21",21,"     He studies it in his hand."
"22",22,"     "
"23",23,"  OLD HOUSE  DAY"
"24",24,"     Birds sing.  Somerset stands, pondering the forested landscape."
"25",25,"                                 MAN'S VOICE (O.S.)"
"26",26,"                   Is something wrong?"
"27",27,"     Somerset does not respond. The MAN, in an ill-fitting real"
"28",28,"     estate jacket, is seated on the hood of a dirty Ford"
"29",29,"     Thunderbird.  He holds a check and a booklet of receipts."
"30",30,"                                 MAN (CONT)"
"31",31,"                   Is something the matter?"
"32",32,"                                 SOMERSET"
"33",33,"                   No... no.  There's nothing wrong."
"34",34,"     Somerset still seems distant."
"35",35,"                                 MAN"
"36",36,"                           (writes receipt)"
"37",37,"                   Not that it's any of my business... but,"
"38",38,"                   are you figuring on moving out here"
"39",39,"                   eventually?"
"40",40,"                                 SOMERSET"
"41",41,"                   Soon."
"42",42,"                                 MAN"
"43",43,"                   I just never seen a man mortgaging an"
"44",44,"                   empty house before."
"45",45,"                                 SOMERSET"
"46",46,"                   Everything here still seems... seems so"
"47",47,"                   strange to me.  All this."
"48",48,"                                 MAN"
"49",49,"                   I don't know.  I'd say this place is"
"50",50,"                   about as normal as places get."
"51",51,"     The man walks over to hand over a receipt.  Somerset accepts the"
"52",52,"     receipt, folds it.  Somerset smiles."
"53",53,"                                 SOMERSET"
"54",54,"                   That is exactly what I mean.  Strange."
"55",55,"     Somerset looks back at the house.  The man does not understand."
"56",56,"     "
"57",57,"  AMTRACK TRAIN  DAY -- (CREDIT SEQUENCE BEGINS)"
"58",58,"     Somerset is in a window seat, smoking a cigarette, looking out"
"59",59,"     the speeding train.  He is near the back of the car, away from"
"60",60,"     the few other passengers."
"61",61,"     Outside, farms, small homes and lawns pass.  The entire panorama"
"62",62,"     is dappled by the rays of the soon setting sun."
"63",63,"     The light flickers across Somerset's placid face."
"64",64,"     "
"65",65,"  AMTRACK TRAIN  LATER DAY"
"66",66,"     The train is nearly full.  Somerset has his suitcase on the"
"67",67,"     aisle seat beside him.  He has a hardcover book unopened on his"
