"","line","content"
"1",1,"                                                                                  "
"2",2,"Fade In:"
"3",3,"A BRIGHT BLUE TIGER"
"4",4,"Surrounded by a pack of dogs, ten of them snarling and gnashing their teeth."
"5",5,"The TIGER'S, eyes burn with fury as he wheels in a circle, lunging at one"
"6",6,"dog clawing at another, keeping them all at bay."
"7",7,"Suddenly, the TIGER leaps over the dogs and transforms into a WHITE"
"8",8,"BIRD, soaring majestically into the sky."
"9",9,"THE FACE OF A JAPANESE MAN"
"10",10,"Sits up into frame, sweating, waking from a dream. He is KATSUMOTO."
"11",11,"We will come to know him later."
"12",12,"Fade to black. CREDITS OVER."
"13",13,"The faint SOUND of a BRASS BAND."
"14",14,"                                               WINCHESTER REP (V.O.)"
"15",15,"                           the leader in all forms of armament used by the"
"16",16,"                           United States Army. When you need a friend,"
"17",17,"                           Winchester is by your side.         ."
"18",18,"THE FACE OF AN AMERICAN MAN"
"19",19,"As he smokes a cigar, barely listening. CAPTAIN _NATHAN ALGREN,"
"20",20,"U.S. Army, ret, 36 years old and looking every da y of it. His eyes are lined"
"21",21,"and saddened. He takes a swig from a flask. He is BACKSTAGE at:"
"22",22,"INT. CONVENTION HALL              SAN FRANCISCO          DAY"
"23",23,"Where a trade show is in progress. Scantily clad lovelies in red-white-and-"
"24",24,"blue undies demonstrate the nation's most important new export: arms."
"25",25,"Every weapon imaginable is on display: rifles, pistols, even howitzers. Banners"
"26",26,"declaim the virtues of Winchester and Springfield. Of Colt and Remington"
"27",27,"and Smith & Wesson. Crowds mill around a stage. where:"
"28",28,"                                             WINCHESTER REP"
"29",29,"                           Ladies and Gentlemen ... the Winchester"
"30",30,"                           Corporation is proud to bring to you... a true"
"31",31,"                           American hero. A patriot who has proven his"
"32",32,"                           gallantry time and again on the field of battle."
"33",33,"LITTLE TIN SOLDIERS are all lined up. A mass of grey. Rebel troops"
"34",34,"surrounding a band of blue Union cavalry. A large, metal diorama."
"35",35,"                                             WINCHESTER REP"
"36",36,"                           I hope you will join us in welcoming ...Late of"
"37",37,"                           the U.S. Cavalry. The Savior of Sutter Hill ..."
"38",38,"                           Captain Nathan Algren!"
"39",39,"A last swig. Algren steels himself, then strides onstage as we reveal a banner:"
"40",40,"                                                                                     "
"41",41,"WINCHESTER PRESENTS: THE MIRACLE AT SUTTER'S HILL!"
"42",42,"Garish limelight from a row of foot lights illuminates Algren."
"43",43,"                                            ALGREN"
"44",44,"                            My thanks, Mr. McCabe... Ladies and Gents."
"45",45,"He looks down at the little metal soldiers and begins to tell the story of the"
"46",46,"battle that made him famous. His narration is halting, unsteady:"
"47",47,"                                                ALGREN"
"48",48,"                            ... On that fateful day, Johnny Reb had us in a"
"49",49,"                            spot, perched on the lonely top of Sutter's Hill,"
"50",50,"                            nothing but grey as far as the eye could see:"
"51",51,"                            Unhorsed and out of ammunition, I gazed down"
"52",52,"                            into the, um, mael... mael..."
"53",53,"                                      (squints to see better)"
"54",54,"                            -maelstrom below us, and saw them moving up."
"55",55,"We realize he is reading from cue cards. The little Rebel soldiers begin sliding"
"56",56,"up the metal hill."
"57",57,"                                                ALGREN"
"58",58,"                            I knew it was fight or die. Into the teeth of the"
"59",59,"                            enemy or we would all be buried... buried ..."
"60",60,"                                      (loses his place, under his breath)"
"61",61,"                            Shit..."
"62",62,"                                      (finds it again)"
"63",63,"                            ...on the same hill with our comrades a1ready"
"64",64,"                            gone to Merciful Heaven..."
"65",65,"A sudden flash:"
"66",66,"Algren's mind. The real battle of Sutter's Hill. The grim reality is ver y"
"67",67,"different from the dashing tale. Union soldiers scream in agony. Those"
"68",68,"horses still alive buck and froth at their tether.                      ."
"69",69,"Algren, a lieutenant then, moves among the panicked, bloody men. He stops beside a"
"70",70,"PRIVATE, his brother, DAVID ALGREN, 19, blonde, not much more than a boy."
"71",71,"                                             DAVEY"
"72",72,"                            They're coming, Nate."
"73",73,"He looks over the wall. Rebel troops are moving up the hill."
"74",74,"                                            ALGREN"
"75",75,"                            Keep your head down."
"76",76,"                                              DAVEY"
"77",77,"                                    (smiling)"
"78",78,"                            Papa alwa ys said we should've joined the navy."
"79",79,"                                             ALGREN"
"80",80,"                            What'd he know?"
"81",81,"                                    (looks fondly at his brother)"
"82",82,"                            You watch me now. Do whatever I say. ."
"83",83,"                                                                                   "
"84",84,"                                             DAVEY"
"85",85,"                           Aye-a ye, lieutenant."
"86",86,"Algren punches his shoulder and moves on down the line. Nearby, Algren's"
"87",87,"friend, SERGEANT ZEBULAH GANT, though severel y wounded, reloads"
"88",88,"his revolver with the last of his ammunition."
"89",89,"                                            GANT"
"90",90,"                           How're the horses?"
"91",91,"                                              ALGREN"
"92",92,"                           Better than you. Smell better, too."
"93",93,"                                    (looks at him)"
"94",94,"                           Can you hold on, Zeb?"
"95",95,"                                              GANT"
"96",96,"                                     (fighting the pain)"
"97",97,"                           I got I choice?"
"98",98,"Algren smiles sadly. His mend will die loon without medical attention."
"99",99,"Algren moves down the line, bullets whizzing overhead. He kneels beside"
"100",100,"COLONEL BAGLEY, his commanding officer."
"101",101,"                                            BAGLEY"
"102",102,"                                  (panicking)"
"103",103,"                           We need a flag. Find me a goddamn white flag!"
"104",104,"                                            ALGREN"
"105",105,"                           What are you talking about?!"
"106",106,"                                            BAGLEY"
"107",107,"                           Surrender, damn it! That's an order!"
"108",108,"Back to the convention hall:"
"109",109,"                                                ALGREN"
"110",110,"                           No thought of surrender among those boy."
"111",111,"                           Better to die as God made us, we thought, as"
"112",112,"                           soldiers... So I gave the order. Mister Bugler,"
"113",113,"                           sound mount up. Mister Bugler, sound prepare"
"114",114,"                           arms. There were only thirty of us, but we had"
"115",115,"                           fire in us yet. I looked down the hill at the destiny"
"116",116,"                           ordained for us. And gave the order. Mister"
"117",117,"                                                             ."
"118",118,"                           Bugler, charge!"
"119",119,"The little Union cavalry soldiers begin moving down slots in the hill."
"120",120,"On Sutter's Hill:"
"121",121,"Algren leads a chaotic cavalry charge down the hill toward the advancing rebel"
"122",122,"infantry -- artillery explosi ons - bullets snapping, trees shattering."
"123",123,"Algren's brother, Davey, rides beside him."
"124",124,"                                                                                      "
"125",125,"The wounded Sergeant Gant pulls himself up, waves his cap and yells."
"126",126,"Bagley remains cowering behind the stone wall."
"127",127,"Back to the convention hall:"
"128",128,"                                              ALGREN"
"129",129,"                           And straight into them we went..."
"130",130,"On Sutter's Hill :"
"131",131,"Carnage. Union and Confederate soldiers slam together, falling, drowning in mud"
"132",132,"and blood, stepped on by panicked hones."
"133",133,"Algren wields his saber in one hand and his revolver in the other, serving"
"134",134,"death on all sides."
"135",135,"A soldier riding next to Davey is shot. A horse falls into a shellhole."
"136",136,"Back to the convention hall:"
"137",137,"                                              ALGREN"
"138",138,"                           \""Hip-hip hurray\"" we shouted, for we"
"139",139,"                           had spirit in us yet--"
"140",140,"More flashes:"
"141",141,"Algren slices right and left with his saber. He is a truly gifted swordsman."
"142",142,"A tree branch knocks Davey from his horse. He sits, dazed, on the ground."
"143",143,"Algren kills a rebel soldier just as be is about to fire on him."
"144",144,"Single-handedly, be rallies his men, screaming orders, then lifts his wounded"
"145",145,"brother onto the saddle beside him."
"146",146,"He leads them downhill toward safel y, Davey clinging to him for dear life."
"147",147,"Back to the convention hall:"
"148",148,"                                             ALGREN"
"149",149,"                           Before they knew what hit them, we had broken"
"150",150,"                           through into the rear of the rebel army."
"151",151,"On Sutter's Hill:"
"152",152,"Algren and his men gather in a copse of trees. They are giddy with the exhilaration"
"153",153,"of having survived."
"154",154,"                                             DAVEY"
"155",155,"                           We did it, bro', WE DID IT! Whoeeeee!!"
"156",156,"Algren's smile is shortlived, though."
"157",157,"                                                                                   "
"158",158,"SUDDENLY, the woods ERUPT with gunfire. Trees are shredded."
"159",159,"Algren's men are literally cut to pieces-"
"160",160,"Davey is riddled with bullets, his dead body shielding Algren from harm until"
"161",161,"he slides, lifeless, to the mud."
"162",162,"                                                ALGREN"
"163",163,"                            Davey---!!!!"
"164",164,"Men and horses are torn apart -- they contort and writhe in agony - jerking"
"165",165,"grotesquely as the bullets rip into them. Algren frantica1ly tries to locate the"
"166",166,"source of this firepower. Then he sees:"
"167",167,"A Gatling Gun."
"168",168,"Six barrels glisten like steel teeth. This early machine gun is the pinnacle of"
"169",169,"current military might -- 60 rounds a second -- a triumph in engineering."
"170",170,"                                        ALGREN"
"171",171,"                            AHHHHHHH--!!!!!"
"172",172,"With insane courage, he wheels and charges the gun."
"173",173,"Bullets rip into horse and rider alike. Algren falls, lifeless, into the mud."
"174",174,"Back to the convention hall:"
"175",175,"                                             ALGREN"
"176",176,"                            And the 23rd rode on to glory."
"177",177,"Applause."
"178",178,"At the back of the hall three elegantly dressed JAPANESE MEN watch"
"179",179,"Algren's performance. They wear Western frock coats and top hats"
"180",180,"                                               ALGREN"
"181",181,"                            Now let me: tell you, gentlemen, if there's one"
"182",182,"                            thing on earth I could have had with me on that"
"183",183,"                            glorious day, it would have been this beauty..."
"184",184,"Algren holds up a Winchester repeating rifle."
"185",185,"At the back of the audience we note someone else watching Algren."
"186",186,"SERGEANT ZEBULON GANT, whom we last saw on Sutter's Hill."
"187",187,"                                               ALGREN"
"188",188,"                            The Winchester Model '73 lever-action rifle."
"189",189,"                            15 shot capacity, one round-per-second,"
"190",190,"                            accurate at 400 yards. You'll note the"
"191",191,"                            patented loading port just beneath the"
"192",192,"                            cartridge chamber and the smooth"
"193",193,"                            cocking action. ...Lets' just see here--"
"194",194,"                                                                                          "
"195",195,"He peers into the ejection port as he cocks the weapon and sights out over the"
"196",196,"crowd."
"197",197,"KA-BOOM!!! The report echoes among the screams of the ladies. Dust and"
"198",198,"glass fall from a rear chandelier."
"199",199,"                                            ALGREN"
"200",200,"                           Smooth trigger action, too."
"201",201,"Audience-members murmur nervousl y."
"202",202,"                                             ALGREN"
"203",203,"                           This is, gentlemen, The Gun That Is Winning The"
"204",204,"                           West... Step on up and take a look. Mr. McCabe is"
"205",205,"                           here to answer any question and take orders. I thank"
"206",206,"                           you."
"207",207,"Later..."
"208",208,"A Winchester representative is handing Algren an envelope."
"209",209,"                                            WINCHESTER REP"
"210",210,"                           What the hell was that?"
"211",211,"                                              ALGREN"
"212",212,"                           Got their attention, didn't I?"
"213",213,"                                            WINCHESTER REP"
"214",214,"                           Boston in three weeks. And sober this time."
"215",215,"He goes. Algren immediately starts counting the cash."
"216",216,"INT.           SEEDY HOTEL ROOM                      NIGHT"
"217",217,"Algren sits alone on the bed. He takes out a leather-bound journal and begins to write."
"218",218,"                                             ALGREN (V.O.)"
"219",219,"                           June 17th, 1"
"220",220," The dead are with me tonight."
"221",221,"                           They return each time I am obliged to tell their"
"222",222,"                           story."
"223",223,"INT.            SQUALID BAR                NIGHT"
"224",224,"Algren sips absinthe. He stares at the milky, green liquid before him."
"225",225,"                                                 ALGREN (V.O.)"
"226",226,"                           I can almost see them in the shadows, their"
"227",227,"                           bodies whole and beautiful once more. Sometimes"
"228",228,"                           it's as if they call to me in a sweet invitation --"
"229",229,"                                                                                    "
"230",230,"EXT.                   GAS-LIT STREET              NIGHT"
