"","line","sentiment","n","paragraph"
"1",8,"sadness",1,1
"2",10,"trust",1,1
"3",13,"fear",1,1
"4",13,"sadness",1,1
"5",19,"sadness",1,1
"6",22,"trust",1,1
"7",24,"sadness",1,1
"8",25,"trust",1,1
"9",26,"disgust",1,1
"10",26,"sadness",1,1
"11",27,"anticipation",2,1
"12",27,"fear",1,1
"13",27,"joy",2,1
"14",27,"sadness",1,1
"15",27,"trust",2,1
"16",32,"trust",2,1
"17",33,"anticipation",1,1
"18",33,"sadness",1,1
"19",36,"sadness",1,1
"20",39,"sadness",2,1
"21",43,"anger",1,1
"22",43,"surprise",1,1
"23",51,"anticipation",1,1
"24",52,"disgust",1,1
"25",52,"sadness",2,1
"26",53,"anticipation",1,1
"27",55,"trust",1,1
"28",61,"anger",1,1
"29",61,"anticipation",1,1
"30",61,"fear",3,1
"31",61,"sadness",1,1
"32",61,"surprise",1,1
"33",62,"anticipation",1,1
"34",63,"sadness",1,1
"35",66,"trust",1,1
"36",69,"anticipation",1,1
"37",69,"joy",1,1
"38",69,"sadness",1,1
"39",69,"trust",1,1
"40",71,"anticipation",1,1
"41",72,"trust",1,1
"42",75,"disgust",1,1
"43",75,"sadness",1,1
"44",80,"sadness",1,1
"45",83,"anticipation",2,1
"46",83,"fear",1,1
"47",83,"sadness",1,1
"48",85,"sadness",1,1
"49",87,"anticipation",1,1
"50",89,"anger",1,1
"51",89,"disgust",1,1
"52",91,"anger",1,1
"53",91,"fear",1,1
"54",91,"joy",1,1
"55",91,"sadness",1,1
"56",91,"trust",1,1
"57",93,"anticipation",1,1
"58",93,"joy",1,1
"59",93,"trust",1,1
"60",94,"anger",1,1
"61",94,"disgust",1,1
"62",94,"fear",1,1
"63",94,"sadness",1,1
"64",94,"surprise",1,1
"65",106,"sadness",1,1
"66",107,"anticipation",1,1
"67",107,"joy",1,1
"68",107,"trust",1,1
"69",112,"joy",1,1
"70",116,"disgust",2,1
"71",116,"fear",1,1
"72",116,"trust",2,1
"73",117,"anticipation",2,1
"74",117,"joy",1,1
"75",117,"trust",1,1
"76",118,"anger",1,1
"77",118,"fear",2,1
"78",118,"sadness",1,1
"79",118,"surprise",1,1
"80",120,"fear",1,1
"81",121,"fear",1,1
"82",122,"fear",1,1
"83",123,"joy",1,1
"84",123,"surprise",1,1
"85",124,"anticipation",1,1
"86",124,"joy",1,1
"87",124,"sadness",1,1
"88",124,"trust",1,1
"89",125,"anger",1,1
"90",125,"disgust",1,1
"91",125,"fear",1,1
"92",125,"sadness",1,1
"93",128,"anticipation",3,1
"94",128,"joy",2,1
"95",128,"trust",3,1
"96",130,"joy",1,1
"97",134,"sadness",1,1
"98",135,"joy",1,1
"99",145,"disgust",1,1
"100",145,"fear",1,1
"101",145,"trust",2,1
"102",146,"joy",1,1
"103",151,"anger",1,1
"104",151,"disgust",1,1
"105",151,"fear",2,1
"106",151,"sadness",1,1
"107",151,"trust",1,1
"108",153,"sadness",1,1
"109",157,"disgust",1,1
"110",161,"anger",1,1
"111",161,"disgust",1,1
"112",163,"sadness",1,1
"113",170,"joy",3,1
"114",173,"anger",1,1
"115",173,"anticipation",1,1
"116",173,"fear",1,1
"117",174,"joy",1,1
"118",174,"trust",1,1
"119",178,"anticipation",1,1
"120",178,"joy",2,1
"121",178,"surprise",1,1
"122",178,"trust",2,1
"123",179,"anticipation",1,1
"124",179,"surprise",1,1
"125",181,"trust",1,1
"126",182,"anger",2,1
"127",182,"anticipation",1,1
"128",182,"joy",1,1
"129",182,"sadness",1,1
"130",182,"surprise",1,1
"131",182,"trust",1,1
"132",183,"trust",2,1
"133",184,"anticipation",1,1
"134",184,"joy",1,1
"135",184,"trust",1,1
"136",185,"joy",1,1
"137",185,"trust",1,1
"138",186,"anticipation",1,1
"139",186,"joy",1,1
"140",186,"trust",1,1
"141",188,"joy",1,1
"142",188,"trust",1,1
"143",193,"trust",1,1
"144",198,"anticipation",1,2
"145",198,"fear",2,2
"146",198,"surprise",1,2
"147",198,"trust",1,2
"148",199,"anticipation",1,2
"149",199,"trust",1,2
"150",201,"trust",1,2
"151",202,"anger",1,2
"152",202,"anticipation",3,2
"153",202,"fear",1,2
"154",202,"joy",1,2
"155",202,"surprise",1,2
"156",202,"trust",1,2
"157",204,"joy",1,2
"158",204,"trust",1,2
"159",205,"anticipation",1,2
"160",207,"disgust",1,2
"161",207,"trust",1,2
"162",209,"anger",1,2
"163",209,"disgust",1,2
"164",211,"anticipation",1,2
"165",218,"joy",1,2
"166",218,"trust",1,2
"167",222,"trust",1,2
"168",230,"anger",1,2
"169",230,"fear",1,2
"170",230,"sadness",1,2
"171",233,"anticipation",1,2
"172",233,"fear",1,2
"173",233,"joy",1,2
"174",233,"sadness",1,2
"175",233,"trust",1,2
"176",234,"disgust",1,2
"177",235,"joy",1,2
"178",235,"trust",1,2
"179",240,"joy",1,2
"180",240,"trust",1,2
"181",241,"joy",1,2
"182",242,"sadness",1,2
"183",243,"trust",1,2
"184",244,"sadness",1,2
"185",246,"joy",1,2
"186",247,"anger",2,2
"187",247,"disgust",1,2
"188",247,"fear",1,2
"189",247,"sadness",1,2
"190",247,"trust",1,2
"191",249,"anticipation",1,2
"192",249,"joy",2,2
"193",249,"sadness",2,2
"194",249,"trust",1,2
"195",251,"anger",1,2
"196",254,"anticipation",1,2
"197",254,"fear",1,2
"198",254,"joy",1,2
"199",254,"trust",1,2
"200",260,"anticipation",2,2
"201",260,"fear",1,2
"202",260,"joy",1,2
"203",260,"sadness",1,2
"204",260,"trust",1,2
"205",262,"anger",1,2
"206",262,"disgust",1,2
"207",262,"fear",1,2
"208",262,"sadness",1,2
"209",262,"surprise",1,2
"210",263,"anticipation",1,2
"211",267,"fear",1,2
"212",267,"sadness",1,2
"213",273,"anticipation",1,2
"214",273,"joy",1,2
"215",273,"sadness",1,2
"216",273,"surprise",1,2
"217",276,"sadness",1,2
"218",279,"anticipation",1,2
"219",279,"surprise",1,2
"220",281,"anticipation",1,2
"221",283,"trust",1,2
"222",284,"trust",1,2
"223",285,"trust",1,2
"224",286,"anger",1,2
"225",286,"anticipation",4,2
"226",286,"fear",2,2
"227",286,"joy",2,2
"228",286,"sadness",1,2
"229",286,"trust",2,2
