,line,content
23,23," RAIN FOREST, OLYMPIC NATIONAL PARK, WASHINGTON - DAWN "
24,24,          
25,25,          Moss-draped. Shadow-drenched. Tortured tree trunks twist 
26,26,"          upward, reaching for rare sunlight. "
27,27,          
28,28,          
29,29,          BELLA (V.O.)
30,30,          I'd never given much thought to how I would die..
31,31,          
32,32,"          Suddenly, every creature in the forest is deadly silent. Neither "
33,33,"          bird, beast nor insect make a noise. A predator is near. "
34,34,          
35,35,"          Then, in the distance, hear a tiny SNICK - a twig snapping. "
36,36,"          Abruptly, we're on the move. Fast."
37,37,          
38,38,          
39,39,          UNKNOWN POV - MOVING
40,40,          
41,41,"          Trees start whipping past us at a dizzying speed, branches "
42,42,          are dodged with preternatural agility. And we're speeding
43,43,"          up, chasing something. It's exhilarating. Terrifying. "
44,44,"          Finally, up ahead, we get the first glimpse of our prey -"
45,45,          -
46,46,          
47,47,          
48,48,          A DEER
49,49,          
50,50,          
51,51,          -- running for its life as it darts through this maze of 
52,52,"          a forest. It sprints forward, but we gain on it. Beyond the deer, "
53,53,"          SEE the forest's edge ahead, white sunlight glowing against the"
54,54,"          trees. The buck races for the light. We're just behind it, "
55,55,          about to emerge from the shadowy darkness -
56,56,          -
57,57,          
58,58,          
59,59,"          The deer LEAPS into the light in a high arc, hovering (suddenly "
60,60,          SLOW MOTION) against the WHITE GLARE of the sun... then BAM! 
61,61,          
62,62,          
63,63,"          The deer abruptly plummets out of frame at an unnatural angle, "
64,64,          leaving the WHITE GLARE to fill the screen. HOLD ON WHITENESS 
65,65,          -
66,66,          
67,67,          
68,68,          BELLA (V.O.)
69,69,          
70,70,          
71,71,          But dying in the place of someone I
72,72,          love seems like a good way to go..
73,73,          . 
74,74,          
75,75,          
76,76,          -- Then into the WHITENESS steps the face of -
77,77,          
78,78,          
79,79,"          2 ISABELLA SWAN, 172"
80,80,          
81,81,          
82,82,"          Eyes closed against the sunlight, absorbing its rays. Long, "
83,83,"          dark hair frames alabaster skin. She's a vulnerable,"
84,84,"          introverted, imperfect beauty."
85,85,          
86,86,          
87,87,          BELLA (V.O.)
88,88,          
89,89,          ... So I can't bring myself to 
90,90,          regret the decision that brought me 
91,91,          here to die... 
92,92,          
93,93,          
94,94,          The background comes into focus as we realize we're now in -
95,95,          
96,96,          
97,97,2
98,98,          
99,99," SCOTTSDALE, AZ - DAY"
100,100,          
101,101,          
102,102,          Bella stands at the end of a cul-de-sac on the desert's edge.
103,103,          The sun blazes behind her -- she bends down and carefully 
104,104,          scoops a tiny BARREL CACTUS into a clay pot. 
105,105,          
106,106,          
107,107,          BELLA (V.O.)
108,108,          
109,109,          ... The decision to leave home.
110,110,          
111,111,"          She stares at the cactus in a state of reverie, until "
112,112,          
113,113,          
114,114,          BLONDE #1 (O.S.)
115,115,"          Bye, Bella!"
116,116,          
117,117,          
118,118,          BELLA'S POV - McMansion ACROSS THE STREET 
119,119,          
120,120,          
