,line,content
7,7,"Then two faint lights appear, close together... growing brighter. They"
8,8,"resolve into two DEEP SUBMERSIBLES, free-falling toward us like express"
9,9,elevators.
10,10,"One is ahead of the other, and passes close enough to FILL FRAME, looking"
11,11,"like a spacecraft blazing with lights, bristling with insectile"
12,12,manipulators.
13,13,TILTING DOWN to follow it as it descends away into the limitless blackness
14,14,"below. Soon they are fireflies, then stars. Then gone."
15,15,                                                                   
16,16,2
17,17,/ 
18,18, MIR ONE / NORTH ATLANTIC DEEP
19,19,"PUSHING IN on one of the falling submersibles, called MIR ONE, right up to"
20,20,its circular viewport to see the occupants.
21,21,"INSIDE, it is a cramped seven foot sphere, crammed with equipment. ANATOLY"
22,22,"MIKAILAVICH, the sub's pilot, sits hunched over his controls... singing"
23,23,softly in Russian.
24,24,"Next to him on one side is BROCK LOVETT. He's in his late forties, deeply"
25,25,"tanned, and likes to wear his Nomex suit unzipped to show the gold from"
26,26,"famous shipwrecks covering his gray chest hair. He is a wiley, fast-talking"
27,27,"treasure hunter, a salvage superstar who is part historian, part adventurer"
28,28,"and part vacuum cleaner salesman. Right now, he is propped against the CO2"
29,29,"scrubber, fast asleep and snoring."
30,30,"On the other side, crammed into the remaining space is a bearded wide-body"
31,31,"named LEWIS BODINE, sho is also asleep. Lewis is an R.O.V. (REMOTELY"
32,32,OPERATED VEHICLE) pilot and is the resident Titanic expert.
33,33,Anatoly glances at the bottom sonar and makes a ballast adjustment.
34,34,                                                                   
35,35,3
36,36, THE BOTTOM OF THE SEA
37,37,"A pale, dead-flat lunar landscape. It gets brighter, lit from above, as MIR"
38,38,ONE enters FRAME and drops to the seafloor in a downblast from its
39,39,thrusters. It hits bottom after its two hour free-fall with a loud BONK.
40,40,                                                                   
41,41,4
42,42, MIR ONE
43,43,Lovett and Bodine jerk awake at the landing.
44,44,                                  ANATOLY
45,45,                          (heavy Russian accent)
46,46,We are here.
47,47,
48,48, / 
49,49, MIR ONE AND TWO
50,50,5 MINUTES LATER: THE TWO SUBS skim over the seafloor to the sound of
51,51,sidescan sonar and the THRUM of big thrusters.
52,52,6 The featureless gray clay of the bottom unrols in the lights of the subs.
53,53,"Bodine is watching the sidescan sonar display, where the outline of a huge"
54,54,"pointed object is visible. Anatoly lies prone, driving the sub, his face"
55,55,pressed to the center port.
56,56,                                  BODINE
57,57,"Come left a little. She's right in front of us, eighteen meters. Fifteen."
58,58,Thirteen... you should see it.
59,59,                                  ANATOLY
60,60,Do you see it? I don't see it... there!
61,61,"Out of the darkness, like a ghostly apparition, the bow of the ship"
62,62,"appears. Its knife-edge prow is coming straight at us, seeming to plow the"
63,63,"bottom sediment like ocean waves. It towers above the seafloor, standing"
64,64,just as it landed 84 years ago.
65,65,THE TITANIC. Or what is left of her. Mir One goes up and over the bow
66,66,"railing, intact except for an overgrowth of \""rusticles\"" draping it like"
67,67,mutated Spanish moss.
68,68,TIGHT ON THE EYEPIECE MONITOR of a video camcorder. Brock Lovett's face
69,69,fills the BLACK AND WHITE FRAME.
70,70,                                  LOVETT
71,71,It still gets me every time.
72,72,"The image pans to the front viewport, looking over Anatoly's shoulder, to"
73,73,the bow railing visible in the lights beyond. Anatoly turns.
74,74,                                  ANATOLY
75,75,Is just your guilt because of estealing from the dead.
76,76,"CUT WIDER, to show that Brock is operating the camera himself, turning it"
77,77,in his hand so it points at his own face.
78,78,                                  LOVETT
79,79,"Thanks, Tolya. Work with me, here."
80,80,"Brock resumes his serious, pensive gaze out the front port, with the camera"
81,81,aimed at himself at arm's length.
82,82,                                  LOVETT
83,83,It still gets me every time... to see the sad ruin of the great ship
84,84,"sitting here, where she landed at 2:30 in the morning, April 15, 1912,"
85,85,after her long fall from the world above.
86,86,Anatoly rolls his eyes and mutters in Russian. Bodine chuckles and watches
87,87,the sonar.
88,88,                                  BODINE
89,89,"You are so full of shit, boss."
90,90,"7 Mir Two drives aft down the starboard side, past the huge anchor while"
91,91,"Mir One passes over the seemingly endless forecastle deck, with its massive"
92,92,"anchor chains still laid out in two neat rows, its bronze windlass caps"
