"","line","sentiment","n","paragraph"
"1",3,"sadness",1,1
"2",4,"anger",1,1
"3",5,"anger",1,1
"4",5,"fear",1,1
"5",5,"sadness",1,1
"6",7,"anticipation",1,1
"7",7,"joy",1,1
"8",7,"surprise",1,1
"9",7,"trust",1,1
"10",12,"sadness",1,1
"11",15,"anger",1,1
"12",15,"fear",1,1
"13",15,"trust",1,1
"14",16,"joy",1,1
"15",16,"trust",2,1
"16",21,"disgust",1,1
"17",23,"anticipation",2,1
"18",23,"joy",2,1
"19",23,"trust",2,1
"20",24,"sadness",1,1
"21",27,"anticipation",1,1
"22",27,"trust",1,1
"23",30,"anticipation",1,1
"24",30,"joy",2,1
"25",30,"trust",3,1
"26",31,"anticipation",1,1
"27",31,"joy",1,1
"28",31,"surprise",1,1
"29",31,"trust",2,1
"30",32,"anger",1,1
"31",32,"anticipation",1,1
"32",33,"anger",1,1
"33",33,"fear",1,1
"34",34,"sadness",1,1
"35",36,"anticipation",1,1
"36",36,"joy",1,1
"37",36,"sadness",1,1
"38",36,"surprise",1,1
"39",36,"trust",1,1
"40",39,"disgust",1,1
"41",41,"anticipation",1,1
"42",41,"joy",1,1
"43",41,"surprise",1,1
"44",41,"trust",1,1
"45",42,"anger",1,1
"46",42,"disgust",1,1
"47",42,"surprise",1,1
"48",46,"anger",1,1
"49",46,"fear",2,1
"50",46,"sadness",1,1
"51",49,"anger",1,1
"52",49,"anticipation",1,1
"53",49,"disgust",1,1
"54",49,"fear",1,1
"55",49,"sadness",1,1
"56",49,"trust",1,1
"57",55,"anger",1,1
"58",55,"anticipation",1,1
"59",55,"fear",1,1
"60",58,"anger",1,1
"61",58,"fear",2,1
"62",58,"sadness",1,1
"63",59,"anger",1,1
"64",59,"disgust",1,1
"65",59,"fear",3,1
"66",59,"sadness",2,1
"67",61,"anger",1,1
"68",61,"disgust",1,1
"69",65,"surprise",1,1
"70",66,"anger",2,1
"71",66,"anticipation",1,1
"72",66,"disgust",1,1
"73",66,"fear",1,1
"74",66,"sadness",1,1
"75",66,"trust",1,1
"76",67,"anger",2,1
"77",67,"disgust",1,1
"78",67,"fear",2,1
"79",67,"sadness",1,1
"80",67,"surprise",1,1
"81",68,"anticipation",1,1
