"","line","content"
"1",1,"""x"""
"2",2,"""1"" """
"3",3,"                              BEAUTY AND THE BEAST"
"4",4,"                                   Written by"
"5",5,"                     Stephen Chbosky & Evan Spiliotopoulos"
"6",6,"                       Based on the 1991 Animated Film"
"7",7,"                             \""Beauty and the Beast\"""
"8",8,"                       Screenplay by Linda Woolverton"
"9",9,"                                                   August 10, 2016"
"10",10,"1   "
"11",11," CASTLE GROUNDS - NIGHT                                1"
"12",12,"    A MAGNIFICENT CASTLE. Resplendent, bespeaking great wealth and  "
"13",13,"    power. The grounds and stonework immaculate."
"14",14,"                        NARRATOR (V.O.)"
"15",15,"              Once upon a time in the hidden heart of"
"16",16,"              France, a handsome young Prince lived in"
"17",17,"              a beautiful castle..."
"18",18,"    RACK FOCUS to a single RED ROSE clinging to a rose bush on a      "
"19",19,"    stormy spring night. A WEATHERED HAND plucks the rose.            "
"20",20,"                        NARRATOR (V.O.)"
"21",21,"              Although he had everything his heart"
"22",22,"              desired, the Prince was selfish and                     "
"23",23,"              unkind."
"24",24,"2   "
"25",25," BALLROOM ENTRANCE - CASTLE - NIGHT                    2"
"26",26,"    TIGHT ON THE PRINCE being groomed by his servants. (We do not"
"27",27,"    see their faces.) A FRENCH MAID paints an exotic animal mask"
"28",28,"    on the Prince's face with a feather brush. A TALL VALET drapes"
"29",29,"    the Prince with an elaborately bejeweled coat."
"30",30,"                         NARRATOR (V.O.)"
"31",31,"              He taxed the village to fill his"
"32",32,"              castle with the most beautiful                          "
"33",33,"              objects..."
"34",34,"    The MAID dusts his wig with powder -"
"35",35,"                        MAID                                          "
"36",36,"              Poof poof...                                            "
"37",37,"    - while a MAJORDOMO holds a POCKET WATCH, indicating that they  "
"38",38,"    are running late."
"39",39,"                        MAJORDOMO                                     "
"40",40,"              Master, it's time.                                      "
"41",41,"    With a haughty wave, the Prince instructs his FOOTMAN to"
"42",42,"    bring more light."
"43",43,"                        FOOTMAN                                       "
"44",44,"              Oui, maitre.                                            "
"45",45,"    A CANDELABRA is lifted to the preening Prince as he looks at"
"46",46,"    himself in an ornate HAND MIRROR."
"47",47,"                        NARRATOR (V.O.)                               "
"48",48,"              ... and his parties with the most                       "
"49",49,"              beautiful people.                                       "
"50",50,"                                                                 2."
"51",51,"3   "
"52",52," BALLROOM - CASTLE - NIGHT                                   3"
"53",53,"    The ornate room is filled with BEAUTIFUL PEOPLE from all              "
"54",54,"    corners of the world, each on display for the Prince's                "
"55",55,"    pleasure. A circle of eligible maidens bow their heads.               "
"56",56,"    Seated in a throne chair dominated by a majestic COAT OF              "
"57",57,"    ARMS, the Prince snaps his fingers impatiently at an ITALIAN          "
"58",58,"    MAESTRO, who smiles, revealing comically rotten teeth.                "
"59",59,"    The maestro sits at a harpsichord and motions to his wife, a"
"60",60,"    LARGE DIVA holding a TINY BICHON FRISE. As the music begins,"
"61",61,"    the Prince steps forward."
"62",62,"    The diva fills the room with a voice as big as her frame."
"63",63,"    The Prince performs a ROUNDELAY with several debutantes:"
"64",64,"                        DIVA"
"65",65,"              Oh how divine"
"66",66,"              Glamour, music and magic combine"
"67",67,"              See the maidens so anxious to shine"
"68",68,"              Look for a sign that enhances"
"69",69,"              Chances"
"70",70,"              She'll be his special one"
"71",71,"5   "
"72",72," BALLROOM - CASTLE - NIGHT                                   5"
"73",73,"    The dance speeds up. The Prince connects momentarily with a           "
"74",74,"    beautiful woman -- but quickly moves on when his eye catches"
"75",75,"    someone even more dazzling:"
"76",76,"                        DIVA"
"77",77,"              What a display!"
"78",78,"              What a breathtaking thrilling array"
"79",79,"                  (coos to the dog)"
"80",80,"              Every prince, every dog has his day"
"81",81,"              Let us sing with passion, gusto"
"82",82,"              Fit to bust - oh"
"83",83,"              Not a care in the world"
"84",84,"    KNOCK KNOCK. The Prince stops. Then a gust of wind blows open  "
"85",85,"    the windows. Sconces flicker and go dark. The figure enters"
"86",86,"    in silhouette, hobbling on a CANE."
"87",87,"    Furious, the Prince grabs a lit candelabra from the Footman."
"88",88,"    He rudely pushes through the crowd, sweeping people from his"
"89",89,"    path. He crosses to the windows, finally revealing --"
"90",90,"    AN OLD BEGGAR WOMAN shivering from the rain. She looks to the"
"91",91,"    Prince with hope and offers him -- A RED ROSE."
"92",92,"                        NARRATOR (V.O.)"
"93",93,"              Then, one night, an unexpected intruder                     "
"94",94,"              arrived at the castle, seeking shelter"
"95",95,"              from the bitter storm. As a gift, she"
"96",96,"              offered the Prince a single rose."
"97",97,"                                                            3."
"98",98,"The PRINCE'S HAND waves her off.    The woman begs on her knees."
"99",99,"The Prince motions to the staff."
"100",100,"                    NARRATOR (V.O.)"
"101",101,"          Repulsed by her haggard appearance, the"
"102",102,"          Prince turned the woman away. But she                      "
"103",103,"          warned him not to be deceived by"
